# TYPE: validation-run
# SEGMENTS: 70d each; targets rho = 0.05,0.40,0.95,0.45,0.35,0.95,0.05,0.35,0.42
# SEED: 42031 (PCG64) — deterministic; ts_ns = NYSE calendar days
ts_ns,A,B,C,D,E
1735776000000000000,-0.0069637175,0.0104530612,-0.0011677545,-0.0042072697,0.0034378698
1735862400000000000,0.0185511103,0.0127850546,-0.0025093972,-0.0067412273,0.0011388556
1735948800000000000,-0.0016133595,-0.0038845297,-0.0253011125,-0.0096081266,0.0168760072
1736035200000000000,-0.0050294994,-0.0007010614,0.0058751407,0.0001298197,-0.0187183547
1736121600000000000,-0.0054744034,-0.0083738320,-0.0037173745,0.0182837025,0.0062723019
1736380800000000000,-0.0086006151,-0.0074438628,0.0096678312,-0.0074908900,0.0195754938
1736467200000000000,0.0151489991,0.0008634944,-0.0040876458,0.0285097763,-0.0101446670
1736553600000000000,0.0008685498,-0.0215397155,0.0107973192,-0.0011449652,0.0179369337
1736640000000000000,0.0333697121,0.0087529420,0.0170291761,-0.0186212583,0.0031268684
1736726400000000000,0.0018491619,0.0194738250,0.0025645595,-0.0122194895,-0.0072031324
1736985600000000000,-0.0045298547,-0.0014001602,-0.0046130222,-0.0012719495,-0.0091188546
1737072000000000000,-0.0137499153,0.0127876289,0.0118037580,-0.0072615362,-0.0111766497
1737158400000000000,0.0008509604,-0.0007424734,-0.0034409062,-0.0029550792,-0.0079255818
1737244800000000000,-0.0100663185,0.0034280048,0.0135272097,0.0044268260,0.0068337824
1737331200000000000,0.0118236329,-0.0013178012,-0.0074034487,-0.0029189739,0.0119781572
1737590400000000000,0.0097716500,-0.0084756327,0.0037673880,0.0028332637,-0.0165496329
1737676800000000000,-0.0061290221,-0.0015761781,-0.0043614743,-0.0239037342,0.0018597500
1737763200000000000,-0.0211583323,-0.0029030117,-0.0034259669,-0.0058402967,-0.0059979666
1737849600000000000,0.0082580080,-0.0027403794,-0.0081517679,-0.0095737838,0.0114027692
1737936000000000000,-0.0029212135,-0.0011395645,-0.0019452445,0.0037154983,0.0072649295
1738195200000000000,-0.0009205207,0.0119328629,0.0023548811,0.0190520515,-0.0245549709
