# TYPE: validation-run
ts_ns,A,B,C,D,E
1787860800000000000,0.01,0.008,0.012,0.006,0.009
1787947200000000000,-0.004,-0.003,-0.005,-0.002,-0.004
1788206400000000000,0.007,0.006,0.008,0.005,0.007
1788292800000000000,-0.006,-0.005,-0.007,-0.004,-0.006
1788379200000000000,0.003,0.002,0.004,0.001,0.003
1788465600000000000,0.011,0.009,0.01,0.008,0.01
1788552000000000000,-0.008,-0.007,-0.009,-0.006,-0.008
1788897600000000000,0.005,0.004,0.006,0.003,0.005
1788984000000000000,-0.002,-0.001,-0.003,0.0,-0.002
1789070400000000000,0.004,0.003,0.005,0.002,0.004
