# TYPE: validation-run
# R033 — edge-case tape: missing prints, non-finite z, halted market, freeze/resume.
# Bar 1: calm -> NORMAL/OK. Bar 2: UUP print missing (7 prints) -> count 2 -> WATCH/DEGRADED.
# Bar 3: 3 prints missing (5 prints < 6) -> UNKNOWN/UNKNOWN (F1).
# Bar 4: GLD z non-finite -> UNKNOWN/UNKNOWN (F2).
# Bar 5: mkt=HALTED -> UNKNOWN/UNKNOWN, hysteresis memory frozen.
# Bar 6: count 3, machine resumes from frozen WATCH -> CRISIS/OK.
# Assumes Gate human_ack=True.
ts_ns,bench,z,mkt
1789070400000000000,SPY,0.1000000000,CONTINUOUS_TRADING
1789070400000000000,EFA,-0.2000000000,CONTINUOUS_TRADING
1789070400000000000,EEM,0.3000000000,CONTINUOUS_TRADING
1789070400000000000,TLT,-0.4000000000,CONTINUOUS_TRADING
1789070400000000000,GLD,0.5000000000,CONTINUOUS_TRADING
1789070400000000000,HYG,-0.6000000000,CONTINUOUS_TRADING
1789070400000000000,DBC,0.7000000000,CONTINUOUS_TRADING
1789070400000000000,UUP,-0.8000000000,CONTINUOUS_TRADING
1789070486400000000,SPY,-2.8000000000,CONTINUOUS_TRADING
1789070486400000000,EFA,-2.6000000000,CONTINUOUS_TRADING
1789070486400000000,EEM,-2.0000000000,CONTINUOUS_TRADING
1789070486400000000,TLT,-1.2000000000,CONTINUOUS_TRADING
1789070486400000000,GLD,0.5000000000,CONTINUOUS_TRADING
1789070486400000000,HYG,-0.8000000000,CONTINUOUS_TRADING
1789070486400000000,DBC,1.1000000000,CONTINUOUS_TRADING
1789070572800000000,SPY,-3.0000000000,CONTINUOUS_TRADING
1789070572800000000,EFA,-2.7000000000,CONTINUOUS_TRADING
1789070572800000000,EEM,0.1000000000,CONTINUOUS_TRADING
1789070572800000000,TLT,0.2000000000,CONTINUOUS_TRADING
1789070572800000000,GLD,0.3000000000,CONTINUOUS_TRADING
1789070659200000000,SPY,-3.0000000000,CONTINUOUS_TRADING
1789070659200000000,EFA,-2.7000000000,CONTINUOUS_TRADING
1789070659200000000,EEM,-2.6000000000,CONTINUOUS_TRADING
1789070659200000000,TLT,0.1000000000,CONTINUOUS_TRADING
1789070659200000000,GLD,,CONTINUOUS_TRADING
1789070659200000000,HYG,0.2000000000,CONTINUOUS_TRADING
1789070659200000000,DBC,0.3000000000,CONTINUOUS_TRADING
1789070659200000000,UUP,0.4000000000,CONTINUOUS_TRADING
1789070745600000000,SPY,0.1000000000,HALTED
1789070745600000000,EFA,0.2000000000,HALTED
1789070745600000000,EEM,0.3000000000,HALTED
1789070745600000000,TLT,0.4000000000,HALTED
1789070745600000000,GLD,0.5000000000,HALTED
1789070745600000000,HYG,0.6000000000,HALTED
1789070745600000000,DBC,0.7000000000,HALTED
1789070745600000000,UUP,0.8000000000,HALTED
1789070832000000000,SPY,-3.0000000000,CONTINUOUS_TRADING
1789070832000000000,EFA,-2.7000000000,CONTINUOUS_TRADING
1789070832000000000,EEM,-2.5500000000,CONTINUOUS_TRADING
1789070832000000000,TLT,0.1000000000,CONTINUOUS_TRADING
1789070832000000000,GLD,0.2000000000,CONTINUOUS_TRADING
1789070832000000000,HYG,0.3000000000,CONTINUOUS_TRADING
1789070832000000000,DBC,0.4000000000,CONTINUOUS_TRADING
1789070832000000000,UUP,0.5000000000,CONTINUOUS_TRADING
