# TYPE: validation-run
# Expected per-bar output of the §R3 detector on R033_estimator_tape.csv.
# z_w1/z_w2 computed causally (trailing windows only); count/state via hysteresis.
ts_ns,bench,z_w1,z_w2,count,state,value,module_state
1789070400000000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070400000000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070400000000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070400000000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070400000000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070400000000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070400000000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070400000000000,UUP,,,,UNKNOWN,,UNKNOWN
1789070486400000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070486400000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070486400000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070486400000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070486400000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070486400000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070486400000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070486400000000,UUP,,,,UNKNOWN,,UNKNOWN
1789070572800000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070572800000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070572800000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070572800000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070572800000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070572800000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070572800000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070572800000000,UUP,,,,UNKNOWN,,UNKNOWN
1789070659200000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070659200000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070659200000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070659200000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070659200000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070659200000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070659200000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070659200000000,UUP,,,,UNKNOWN,,UNKNOWN
1789070745600000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070745600000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070745600000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070745600000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070745600000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070745600000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070745600000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070745600000000,UUP,,,,UNKNOWN,,UNKNOWN
1789070832000000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070832000000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070832000000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070832000000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070832000000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070832000000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070832000000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070832000000000,UUP,,,,UNKNOWN,,UNKNOWN
1789070918400000000,SPY,,,,UNKNOWN,,UNKNOWN
1789070918400000000,EFA,,,,UNKNOWN,,UNKNOWN
1789070918400000000,EEM,,,,UNKNOWN,,UNKNOWN
1789070918400000000,TLT,,,,UNKNOWN,,UNKNOWN
1789070918400000000,GLD,,,,UNKNOWN,,UNKNOWN
1789070918400000000,HYG,,,,UNKNOWN,,UNKNOWN
1789070918400000000,DBC,,,,UNKNOWN,,UNKNOWN
1789070918400000000,UUP,,,,UNKNOWN,,UNKNOWN
1789071004800000000,SPY,,,,UNKNOWN,,UNKNOWN
1789071004800000000,EFA,,,,UNKNOWN,,UNKNOWN
1789071004800000000,EEM,,,,UNKNOWN,,UNKNOWN
1789071004800000000,TLT,,,,UNKNOWN,,UNKNOWN
1789071004800000000,GLD,,,,UNKNOWN,,UNKNOWN
1789071004800000000,HYG,,,,UNKNOWN,,UNKNOWN
1789071004800000000,DBC,,,,UNKNOWN,,UNKNOWN
1789071004800000000,UUP,,,,UNKNOWN,,UNKNOWN
1789071091200000000,SPY,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071091200000000,EFA,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071091200000000,EEM,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071091200000000,TLT,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071091200000000,GLD,0.7195920781,0.7195920781,0,NORMAL,0.0,OK
1789071091200000000,HYG,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071091200000000,DBC,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071091200000000,UUP,1.6035674515,1.6035674515,0,NORMAL,0.0,OK
1789071177600000000,SPY,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071177600000000,EFA,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071177600000000,EEM,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071177600000000,TLT,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071177600000000,GLD,-0.2902788977,-0.2799462555,0,NORMAL,0.0,OK
1789071177600000000,HYG,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071177600000000,DBC,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071177600000000,UUP,-0.6666666667,-0.6493094697,0,NORMAL,0.0,OK
1789071264000000000,SPY,-23.3101201654,-23.6204658491,3,CRISIS,3.0,OK
1789071264000000000,EFA,-23.3101201654,-23.6204658491,3,CRISIS,3.0,OK
1789071264000000000,EEM,-23.3101201654,-23.6204658491,3,CRISIS,3.0,OK
1789071264000000000,TLT,0.9282791216,1.1185178814,3,CRISIS,3.0,OK
1789071264000000000,GLD,0.4736696722,0.5170364907,3,CRISIS,3.0,OK
1789071264000000000,HYG,0.9282791216,1.1185178814,3,CRISIS,3.0,OK
1789071264000000000,DBC,0.9282791216,1.1185178814,3,CRISIS,3.0,OK
1789071264000000000,UUP,0.9282791216,1.1185178814,3,CRISIS,3.0,OK
1789071350400000000,SPY,0.1678295692,0.2416750583,0,WATCH,0.0,OK
1789071350400000000,EFA,0.1678295692,0.2416750583,0,WATCH,0.0,OK
1789071350400000000,EEM,0.1678295692,0.2416750583,0,WATCH,0.0,OK
1789071350400000000,TLT,-1.1940446283,-1.1338934190,0,WATCH,0.0,OK
1789071350400000000,GLD,-0.5677714434,-0.3086066999,0,WATCH,0.0,OK
1789071350400000000,HYG,-1.1940446283,-1.1338934190,0,WATCH,0.0,OK
1789071350400000000,DBC,1.7910669424,1.8898223650,0,WATCH,0.0,OK
1789071350400000000,UUP,-1.1940446283,-1.1338934190,0,WATCH,0.0,OK
1789071436800000000,SPY,-2.9736200638,-2.6262733216,,UNKNOWN,,UNKNOWN
1789071436800000000,EFA,-2.9736200638,-2.6262733216,,UNKNOWN,,UNKNOWN
1789071436800000000,EEM,0.4290297604,0.4813426988,,UNKNOWN,,UNKNOWN
1789071436800000000,TLT,0.5726371269,0.6299407883,,UNKNOWN,,UNKNOWN
1789071436800000000,GLD,-1.4518159055,-2.8977276264,,UNKNOWN,,UNKNOWN
