# TYPE: validation-run
# R033 — estimator-layer tape: raw returns -> z (trailing window), synthetic, no RNG.
# Fixture config overrides (chapter defaults in §R0.2): z_window_days=10 [example],
#   z_min_bars=8 [example], dual window W2=8 [example], sigma_floor=1e-6 [default], ddof=0 [default].
# Bars 1-8: warmup (< 8 history bars) -> UNKNOWN. Bars 9-10: calm history.
# Bar 11: -4.5% crash day on SPY/EFA/EEM -> 3 breaches -> CRISIS.
# Bar 12: DBC r_raw=-0.50 (simulated 2:1 split, unadjusted) vs r_adj=+0.004;
#   detector MUST use r_adj (no false breach) -> count 0, CRISIS exits to WATCH.
# Bars 3-4: GLD +/-0.8% patch widens the W1 window sigma only.
# Bar 13: SPY/EFA -4.5% again; GLD -0.6% breaches under W2 sigma but NOT under W1 sigma
#   -> dual-estimator crisis verdicts disagree -> UNKNOWN (F3).
# Assumes Gate human_ack=True.
# z1_gld/z2_gld printed by the generator for the record.
ts_ns,bench,r_raw,r_adj
1789070400000000000,SPY,0.0000000000,0.0000000000
1789070400000000000,EFA,0.0000000000,0.0000000000
1789070400000000000,EEM,0.0000000000,0.0000000000
1789070400000000000,TLT,0.0000000000,0.0000000000
1789070400000000000,GLD,0.0000000000,0.0000000000
1789070400000000000,HYG,0.0000000000,0.0000000000
1789070400000000000,DBC,0.0000000000,0.0000000000
1789070400000000000,UUP,0.0000000000,0.0000000000
1789070486400000000,SPY,0.0030000000,0.0030000000
1789070486400000000,EFA,0.0030000000,0.0030000000
1789070486400000000,EEM,0.0030000000,0.0030000000
1789070486400000000,TLT,0.0030000000,0.0030000000
1789070486400000000,GLD,0.0030000000,0.0030000000
1789070486400000000,HYG,0.0030000000,0.0030000000
1789070486400000000,DBC,0.0030000000,0.0030000000
1789070486400000000,UUP,0.0030000000,0.0030000000
1789070572800000000,SPY,-0.0010000000,-0.0010000000
1789070572800000000,EFA,-0.0010000000,-0.0010000000
1789070572800000000,EEM,-0.0010000000,-0.0010000000
1789070572800000000,TLT,-0.0010000000,-0.0010000000
1789070572800000000,GLD,0.0080000000,0.0080000000
1789070572800000000,HYG,-0.0010000000,-0.0010000000
1789070572800000000,DBC,-0.0010000000,-0.0010000000
1789070572800000000,UUP,-0.0010000000,-0.0010000000
1789070659200000000,SPY,0.0020000000,0.0020000000
1789070659200000000,EFA,0.0020000000,0.0020000000
1789070659200000000,EEM,0.0020000000,0.0020000000
1789070659200000000,TLT,0.0020000000,0.0020000000
1789070659200000000,GLD,-0.0080000000,-0.0080000000
1789070659200000000,HYG,0.0020000000,0.0020000000
1789070659200000000,DBC,0.0020000000,0.0020000000
1789070659200000000,UUP,0.0020000000,0.0020000000
