# TYPE: validation-run
# Expected per-bar output of the §R3 detector on R033_tape.csv (causal, hysteresis memory).
ts_ns,count,state,value,module_state
1789070400000000000,0,NORMAL,0.0,OK
1789070486400000000,1,NORMAL,1.0,OK
1789070572800000000,2,WATCH,2.0,OK
1789070659200000000,3,CRISIS,3.0,OK
1789070745600000000,2,CRISIS,2.0,OK
1789070832000000000,1,WATCH,1.0,OK
1789070918400000000,0,NORMAL,0.0,OK
1789071004800000000,2,WATCH,2.0,OK
1789071091200000000,2,CRISIS,2.0,OK
1789071177600000000,1,WATCH,1.0,OK
1789071264000000000,0,NORMAL,0.0,OK
1789071350400000000,0,NORMAL,0.0,OK
1789071436800000000,1,NORMAL,1.0,OK
