# TYPE: validation-run
# R033 — Systemic tail-risk / crisis regime: synthetic transition tape (no RNG).
# z pre-computed per the §R3 recipe from the §R6 panel; trailing history omitted.
# Fixture config overrides (chapter defaults in §R0.2):
#   z_window_days=10 [example], z_min_bars=8 [example], dual window W2=8 [example],
#   kappa=2.5, k_crit=3, k_watch=2, k_exit_crisis=2, k_exit_watch=1, streak_days=2 [example].
# Assumes Gate human_ack=True (see test_ack_interlock_blocks_adds for acked=False).
# Bars pin: NORMAL/WATCH/CRISIS entry (B4), hysteresis hold at count 2 in CRISIS (B5),
# crisis exit to WATCH at count 1 (B6), WATCH->NORMAL at count 0 (B7), streak promotion
# two consecutive count-2 days -> CRISIS (B8->B9), exact-kappa boundary is NOT a breach (B12),
# just-past-kappa IS a breach (B13).
ts_ns,bench,z
1789070400000000000,SPY,-0.5000000000
1789070400000000000,EFA,0.3000000000
1789070400000000000,EEM,-1.2000000000
1789070400000000000,TLT,0.8000000000
1789070400000000000,GLD,1.5000000000
1789070400000000000,HYG,-0.2000000000
1789070400000000000,DBC,0.1000000000
1789070400000000000,UUP,-2.0000000000
1789070486400000000,SPY,-2.6000000000
1789070486400000000,EFA,0.2000000000
1789070486400000000,EEM,0.5000000000
1789070486400000000,TLT,-0.3000000000
1789070486400000000,GLD,0.9000000000
1789070486400000000,HYG,1.1000000000
1789070486400000000,DBC,-1.5000000000
1789070486400000000,UUP,0.4000000000
1789070572800000000,SPY,-2.7000000000
1789070572800000000,EFA,-2.5500000000
1789070572800000000,EEM,0.1000000000
1789070572800000000,TLT,0.2000000000
1789070572800000000,GLD,0.3000000000
1789070572800000000,HYG,0.4000000000
1789070572800000000,DBC,0.5000000000
1789070572800000000,UUP,0.6000000000
1789070659200000000,SPY,-3.1000000000
1789070659200000000,EFA,-2.8000000000
1789070659200000000,EEM,-2.6000000000
1789070659200000000,TLT,-1.2000000000
1789070659200000000,GLD,0.5000000000
1789070659200000000,HYG,-0.8000000000
1789070659200000000,DBC,1.1000000000
1789070659200000000,UUP,-2.0000000000
1789070745600000000,SPY,-2.9000000000
1789070745600000000,EFA,-2.6000000000
1789070745600000000,EEM,0.2000000000
1789070745600000000,TLT,0.3000000000
1789070745600000000,GLD,-0.5000000000
1789070745600000000,HYG,0.1000000000
1789070745600000000,DBC,-0.2000000000
1789070745600000000,UUP,0.0000000000
1789070832000000000,SPY,-2.6000000000
1789070832000000000,EFA,0.1000000000
1789070832000000000,EEM,0.2000000000
1789070832000000000,TLT,0.3000000000
1789070832000000000,GLD,0.4000000000
1789070832000000000,HYG,0.5000000000
1789070832000000000,DBC,0.6000000000
1789070832000000000,UUP,0.7000000000
1789070918400000000,SPY,0.1000000000
1789070918400000000,EFA,0.2000000000
1789070918400000000,EEM,0.3000000000
1789070918400000000,TLT,0.4000000000
1789070918400000000,GLD,0.5000000000
1789070918400000000,HYG,0.6000000000
1789070918400000000,DBC,0.7000000000
1789070918400000000,UUP,0.8000000000
1789071004800000000,SPY,-2.8000000000
1789071004800000000,EFA,-2.6000000000
1789071004800000000,EEM,0.1000000000
1789071004800000000,TLT,0.2000000000
1789071004800000000,GLD,0.3000000000
1789071004800000000,HYG,0.4000000000
1789071004800000000,DBC,0.5000000000
1789071004800000000,UUP,0.6000000000
1789071091200000000,SPY,-2.7000000000
1789071091200000000,EFA,-2.9000000000
1789071091200000000,EEM,0.1000000000
1789071091200000000,TLT,0.2000000000
1789071091200000000,GLD,0.3000000000
1789071091200000000,HYG,0.4000000000
1789071091200000000,DBC,0.5000000000
1789071091200000000,UUP,0.6000000000
1789071177600000000,SPY,-2.6000000000
1789071177600000000,EFA,0.1000000000
1789071177600000000,EEM,0.2000000000
1789071177600000000,TLT,0.3000000000
1789071177600000000,GLD,0.4000000000
1789071177600000000,HYG,0.5000000000
1789071177600000000,DBC,0.6000000000
1789071177600000000,UUP,0.7000000000
1789071264000000000,SPY,0.2000000000
1789071264000000000,EFA,0.1000000000
1789071264000000000,EEM,-0.3000000000
1789071264000000000,TLT,0.4000000000
1789071264000000000,GLD,0.5000000000
1789071264000000000,HYG,0.6000000000
1789071264000000000,DBC,0.7000000000
1789071264000000000,UUP,0.8000000000
1789071350400000000,SPY,-2.5000000000
1789071350400000000,EFA,0.1000000000
1789071350400000000,EEM,0.2000000000
1789071350400000000,TLT,0.3000000000
1789071350400000000,GLD,0.4000000000
1789071350400000000,HYG,0.5000000000
1789071350400000000,DBC,0.6000000000
1789071350400000000,UUP,0.7000000000
1789071436800000000,SPY,-2.5100000000
1789071436800000000,EFA,0.1000000000
1789071436800000000,EEM,0.2000000000
1789071436800000000,TLT,0.3000000000
1789071436800000000,GLD,0.4000000000
1789071436800000000,HYG,0.5000000000
1789071436800000000,DBC,0.6000000000
1789071436800000000,UUP,0.7000000000
