# TYPE: validation-run
ts_ns,P_now,P_then,mu_R,sigma_R,halt
1788984000000000000,82.6,70.0,0.01,0.06,0
1789070400000000000,72.0,70.0,0.01,0.06,0
1789156800000000000,423.47532250890623,70.0,0.0,1.0,0
1789243200000000000,571.6318938797356,70.0,0.0,1.0,0
1789329600000000000,423.47532250890623,70.0,0.0,1.0,0
1789416000000000000,313.7182349236645,70.0,0.0,1.0,0
1789502400000000000,517.2339269251455,70.0,0.0,1.0,0
1789588800000000000,5.745949903672916,70.0,0.0,1.0,0
1789675200000000000,5.745949903672916,70.0,0.0,1.0,0
1789761600000000000,14.132756259625877,70.0,0.0,1.0,0
1789848000000000000,17.261787475912453,70.0,0.0,1.0,0
1789934400000000000,70.0,70.0,0.0,1.0,1
1790020800000000000,,70.0,0.0,1.0,0
