# TYPE: validation-run
ts_ns,name,d_days,iv_pct,calendar_confirmed,d_days_dual,market_state,lookback_n,split_flag
1789070400000000000,AAA,8,70,1,,CONTINUOUS_TRADING,252,0
1789156800000000000,AAA,5,75,1,,CONTINUOUS_TRADING,252,0
1789243200000000000,AAA,4,92,1,,CONTINUOUS_TRADING,252,0
1789329600000000000,AAA,2,89,1,,CONTINUOUS_TRADING,252,0
1789416000000000000,AAA,2,90,1,,CONTINUOUS_TRADING,252,0
1789502400000000000,AAA,2,84,1,,CONTINUOUS_TRADING,252,0
1789588800000000000,AAA,3,85,1,,CONTINUOUS_TRADING,252,0
1789675200000000000,AAA,2,95,1,,HALTED,252,0
1789761600000000000,AAA,3,85,1,,CONTINUOUS_TRADING,252,0
1789848000000000000,AAA,2,95,1,,CONTINUOUS_TRADING,252,0
1789934400000000000,AAA,2,79,1,,CONTINUOUS_TRADING,252,0
1790193600000000000,AAA,-1,40,1,,CONTINUOUS_TRADING,252,0
1790280000000000000,AAA,10,60,0,,CONTINUOUS_TRADING,252,0
1790366400000000000,AAA,2,,1,,CONTINUOUS_TRADING,252,0
1790452800000000000,AAA,5,80,1,8,CONTINUOUS_TRADING,252,0
1790539200000000000,AAA,30,60,1,,CONTINUOUS_TRADING,100,1
1790625600000000000,AAA,2,95,1,,CONTINUOUS_TRADING,252,0
