# TYPE: validation-run
# Expected detector output for R036_tape.csv (cfg: M_active_entry=3.0, M_active_exit=2.5,
# M_watch_entry=1.5, M_watch_exit=1.0, win_half_min=45). Row 10: F2 -> UNKNOWN, prev frozen.
ts_ns,state,value,module_state
1788521400000000000,ACTIVE,3.0,OK
1788522000000000000,ACTIVE,2.8,OK
1788522600000000000,ACTIVE,2.5,OK
1788523200000000000,ACTIVE,0.2,OK
1788523800000000000,ACTIVE,1.2,OK
1788524400000000000,WATCH,2.4,OK
1788525000000000000,WATCH,1.6,OK
1788525600000000000,WATCH,1.0,OK
1788526200000000000,QUIET,0.9,OK
1788526800000000000,WATCH,1.5,OK
1788527400000000000,UNKNOWN,,UNKNOWN
1788528000000000000,WATCH,1.2,OK
1788528600000000000,QUIET,0.5,OK
1788529200000000000,ACTIVE,0.2,OK
