# TYPE: validation-run
# R036 macro-announcement window tape. 10-min bars around two releases.
# Exercises: exact entry boundaries, hysteresis hold/exit, window boundary |t_rel|=45,
# window override of low M, F2 non-finite M -> UNKNOWN, freeze + recovery.
ts_ns,t_rel_min,M
1788521400000000000,-60,3.0
1788522000000000000,-50,2.8
1788522600000000000,-48,2.5
1788523200000000000,-45,0.2
1788523800000000000,-30,1.2
1788524400000000000,50,2.4
1788525000000000000,60,1.6
1788525600000000000,70,1.0
1788526200000000000,80,0.9
1788526800000000000,90,1.5
1788527400000000000,100,nan
1788528000000000000,110,1.2
1788528600000000000,120,0.5
1788529200000000000,-45,0.2
