# TYPE: validation-run
ts_ns,R_e,R_b,in_window
1788206400000000000,0.1,0.0,1
1788292800000000000,0.029,0.0,1
1788379200000000000,0.012,0.0,1
1788465600000000000,-0.05,0.02,1
1788552000000000000,-0.02,0.005,1
1788638400000000000,-0.016,0.002,1
1788724800000000000,0.0427349427350428,0.0,1
1788811200000000000,0.04273514273504281,0.0,1
1788897600000000000,-0.05,0.0,1
1788984000000000000,-0.04065050650406504,0.0,1
1789070400000000000,-0.020576132687242815,0.0,1
1789156800000000000,0.03,0.0,0
1789243200000000000,,0.0,1
1789329600000000000,nan,0.0,1
1789416000000000000,0.0,0.0,0
