# TYPE: validation-run
ts_ns,state,liq_ratio,spr_ratio,module_state
1789052400000000000,NORMAL,0.95,1.0,OK
1789052700000000000,THIN,0.65,1.2,OK
1789053000000000000,THIN,0.72,1.1,OK
1789053300000000000,NORMAL,0.8,1.0,OK
1789053600000000000,SEVERE,0.45,1.5,OK
1789053900000000000,SEVERE,0.55,1.3,OK
1789054200000000000,THIN,0.65,1.2,OK
1789054500000000000,THIN,1.05,2.5,OK
1789054800000000000,THIN,1.1,1.8,OK
1789055100000000000,NORMAL,1.0,1.2,OK
1789055400000000000,UNKNOWN,,,UNKNOWN
1789055700000000000,NORMAL,0.9,1.0,OK
1789056000000000000,UNKNOWN,,,UNKNOWN
1789056300000000000,NORMAL,0.95,1.1,OK
1789056600000000000,UNKNOWN,,,UNKNOWN
1789056900000000000,NORMAL,0.92,1.05,OK
