# TYPE: validation-run
ts_ns,cumvol,baseline,cumvol_v2,baseline_v2,spread,spread_base,spread_v2,spread_base_v2,corp_action,halted
1789052400000000000,0.95,1.0,0.9538,1.0,1.0,1.0,0.998,1.0,none,0
1789052700000000000,0.65,1.0,0.6526,1.0,1.2,1.0,1.1976,1.0,none,0
1789053000000000000,0.72,1.0,0.72288,1.0,1.1,1.0,1.0978,1.0,none,0
1789053300000000000,0.8,1.0,0.8032,1.0,1.0,1.0,0.998,1.0,none,0
1789053600000000000,0.45,1.0,0.4518,1.0,1.5,1.0,1.497,1.0,none,0
1789053900000000000,0.55,1.0,0.5522,1.0,1.3,1.0,1.2974,1.0,none,0
1789054200000000000,0.65,1.0,0.6526,1.0,1.2,1.0,1.1976,1.0,none,0
1789054500000000000,1.05,1.0,1.0542,1.0,2.5,1.0,2.495,1.0,none,0
1789054800000000000,1.1,1.0,1.1044,1.0,1.8,1.0,1.7964,1.0,none,0
1789055100000000000,1.0,1.0,1.004,1.0,1.2,1.0,1.1976,1.0,none,0
1789055400000000000,,,,,,,,,none,0
1789055700000000000,0.9,1.0,0.9036,1.0,1.0,1.0,0.998,1.0,none,0
1789056000000000000,2.0,1.0,2.008,1.0,1.0,1.0,0.998,1.0,split,0
1789056300000000000,0.95,1.0,0.9538,1.0,1.1,1.0,1.0978,1.0,none,0
1789056600000000000,0.92,1.0,0.92368,1.0,1.05,1.0,1.0479,1.0,none,1
1789056900000000000,0.92,1.0,0.92368,1.0,1.05,1.0,1.0479,1.0,none,0
