# TYPE: validation-run
# R039 threshold-boundary tape (post-split chain, K* = 50.0 throughout).
# dist = |spot - K*| / spot, computed: 50.30 -> 0.005964, 50.25 -> 0.004975,
# 50.40 -> 0.007937, 50.41 -> 0.008133 (hand-verified).
# t0: 0.005964 > entry 0.005 -> WATCH
# t1: 0.004975 <= entry 0.005 -> PIN (entry, inclusive)
# t2: 0.007937 <= exit 0.008 -> stays PIN (exit is strict >)
# t3: 0.008133 > exit 0.008 -> WATCH (exit)
ts_ns,strike,call_oi,put_oi,spot,event_type,factor
1789588800000000000,48,10,50,50.30,,
1789588800000000000,49,30,40,50.30,,
1789588800000000000,50,60,20,50.30,,
1789588800000000000,51,40,30,50.30,,
1789588800000000000,52,50,10,50.30,,
1789675200000000000,48,10,50,50.25,,
1789675200000000000,49,30,40,50.25,,
1789675200000000000,50,60,20,50.25,,
1789675200000000000,51,40,30,50.25,,
1789675200000000000,52,50,10,50.25,,
1789761600000000000,48,10,50,50.40,,
1789761600000000000,49,30,40,50.40,,
1789761600000000000,50,60,20,50.40,,
1789761600000000000,51,40,30,50.40,,
1789761600000000000,52,50,10,50.40,,
1789848000000000000,48,10,50,50.41,,
1789848000000000000,49,30,40,50.41,,
1789848000000000000,50,60,20,50.41,,
1789848000000000000,51,40,30,50.41,,
1789848000000000000,52,50,10,50.41,,
