# TYPE: validation-run
# R039 corporate-action tape: 2:1 split between t1 and t3.
# t1: pre-split chain (strikes 96..104, spot 100.0) -> PIN, K* = 100.0.
# t2: SPLIT control row, factor 0.5, spot 50.0 -> cached K* rebased to 50.0,
#     dist 0 -> PIN, module_state DEGRADED (chain not yet refreshed post-split).
# t3: post-split chain (strikes 48..52, spot 50.0) -> PIN, K* = 50.0, OK.
# Post-split Pi = {48:470, 49:340, 50:280, 51:300, 52:390} (hand-verified).
ts_ns,strike,call_oi,put_oi,spot,event_type,factor
1789588800000000000,96,10,50,100.0,,
1789588800000000000,98,30,40,100.0,,
1789588800000000000,100,60,20,100.0,,
1789588800000000000,102,40,30,100.0,,
1789588800000000000,104,50,10,100.0,,
1789675200000000000,,,,50.0,SPLIT,0.5
1789761600000000000,48,10,50,50.0,,
1789761600000000000,49,30,40,50.0,,
1789761600000000000,50,60,20,50.0,,
1789761600000000000,51,40,30,50.0,,
1789761600000000000,52,50,10,50.0,,
