# TYPE: validation-run
# R039 expiry-week tape: 3 daily snapshots (Wed/Thu/Fri, Sep 16-18 2026; Fri = quad witching).
# t1: spot 100.0 -> dist 0.0000 -> PIN (entry, dist <= pin_tol_entry 0.005)
# t2: spot 100.6 -> dist 0.005964 (> entry, <= exit 0.008) -> stays PIN (hysteresis)
# t3: spot 101.0 -> dist 0.009901 (> exit) -> WATCH (exit)
# K* = 100.0 on all snapshots: Pi = {96:940, 98:680, 100:560, 102:600, 104:780} (hand-verified).
ts_ns,strike,call_oi,put_oi,spot,event_type,factor
1789588800000000000,96,10,50,100.0,,
1789588800000000000,98,30,40,100.0,,
1789588800000000000,100,60,20,100.0,,
1789588800000000000,102,40,30,100.0,,
1789588800000000000,104,50,10,100.0,,
1789675200000000000,96,10,50,100.6,,
1789675200000000000,98,30,40,100.6,,
1789675200000000000,100,60,20,100.6,,
1789675200000000000,102,40,30,100.6,,
1789675200000000000,104,50,10,100.6,,
1789761600000000000,96,10,50,101.0,,
1789761600000000000,98,30,40,101.0,,
1789761600000000000,100,60,20,101.0,,
1789761600000000000,102,40,30,101.0,,
1789761600000000000,104,50,10,101.0,,
