# TYPE: validation-run
# seed 42040 [example]; all values synthetic; effective_date 2026-09-25
ts_ns,symbol,w_new,aum_bn,aum_vintage,price,adv,effective_date_ns,market_state,ca_adjusted
1789948800000000000,AAA,0.0015,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1789948800000000000,BBB,0.0002,200,2026-Q3,120,20000000,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,AAA,0.00044,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790121600000000000,AAA,0.00036,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790208000000000000,AAA,0.00006,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790294400000000000,AAA,0.0005,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,BBB,0.0006,200,2026-Q3,120,20000000,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,CCC,0.0015,200,2026-Q3,50,0,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,DDD,0.0015,200,2026-Q3,,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,EEE,0.0015,200,2026-Q3,50,8000000,1790294400000000000,HALTED,1
1790726400000000000,FFF,0.0015,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,GGG,0.0015,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,0
1790035200000000000,HHH,0.0004,200,2026-Q3,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
1790035200000000000,III,0.0015,200,2026-Q1,50,8000000,1790294400000000000,CONTINUOUS_TRADING,1
