# TYPE: validation-run
# WINDOW_BARS: 4 [example — scenario accelerator; production default 60 per §R6.1]
# SCENARIO: row5 ON_DOMINANT entry (s=0.7233); row7 hysteresis hold (s=0.5975 < 0.60 stays ON);
#           row8 exit to BALANCED (s=0.4946 < 0.55); row9 ID_DOMINANT entry (s=0.2749);
#           row10 hysteresis hold (s=0.4198 in (0.40,0.45] stays ID); row11 exit to BALANCED (s=0.4680 > 0.45)
ts_ns,r_on,r_id
1788465600000000000,0.004,0.003
1788552000000000000,0.001,0.002
1788638400000000000,0.005,0.004
1788724800000000000,-0.002,0.001
1788811200000000000,0.006,0.0005
1788897600000000000,-0.005,0.0006
1788984000000000000,0.004,0.006
1789070400000000000,0.001,0.009
1789156800000000000,-0.001,0.011
1789243200000000000,-0.014,-0.0005
1789329600000000000,-0.019,0.004
