# TYPE: validation-run
ts_ns,s1,s2,s3,s4,s5,s6
1788897600000000000,0.0100000000,-0.0050000000,0.0200000000,0.0030000000,-0.0100000000,0.0080000000
1788984000000000000,0.0150000000,0.0020000000,0.0250000000,-0.0040000000,0.0060000000,0.0110000000
1789070400000000000,-0.0210000000,-0.0190000000,-0.0200000000,-0.0180000000,-0.0220000000,-0.0195000000
1789156800000000000,0.0100000000,0.0100000000,0.0100000000,-0.0055200000,-0.0055200000,-0.0055200000
1789243200000000000,0.0120000000,0.0120000000,0.0120000000,-0.0080830000,-0.0080830000,-0.0080830000
1789329600000000000,0.0180000000,0.0180000000,0.0180000000,-0.0112120000,-0.0112120000,-0.0112120000
1789416000000000000,0.0140000000,0.0140000000,0.0140000000,-0.0106480000,-0.0106480000,-0.0106480000
1789502400000000000,0.0110000000,0.0110000000,0.0110000000,-0.0099960000,-0.0099960000,-0.0099960000
1789588800000000000,0.0160000000,0.0160000000,0.0160000000,-0.0123036600,-0.0123036600,-0.0123036600
1789675200000000000,0.01,-0.005,nan,0.003,-0.01,0.008
