# TYPE: validation-run
ts_ns,name,state,value,module_state
1785542400000000000,AAA,NORMAL,0.1,OK
1786838400000000000,AAA,CROWDED,0.13,OK
1788134400000000000,AAA,CROWDED,0.115,OK
1789430400000000000,AAA,NORMAL,0.085,OK
1790726400000000000,AAA,NORMAL,0.119,OK
1792022400000000000,AAA,SQUEEZE_WATCH,0.26,OK
1793318400000000000,AAA,SQUEEZE_WATCH,0.235,OK
1794614400000000000,AAA,CROWDED,0.215,OK
1795910400000000000,AAA,NORMAL,0.085,OK
1797206400000000000,AAA,UNKNOWN,,UNKNOWN
1798502400000000000,AAA,NORMAL,0.03,OK
