# TYPE: validation-run
ts_ns,a1,a2,a3,a4,a5,a6,market_state
1788465600000000000,-0.0192,-0.0165,0.0120,0.0161,0.0070,-0.0153,
1788552000000000000,-0.0116,0.0018,0.0055,0.0021,-0.0050,-0.0010,
1788638400000000000,-0.0144,-0.0013,-0.0084,-0.0072,-0.0172,-0.0024,
1788724800000000000,-0.0093,-0.0075,-0.0164,0.0112,-0.0151,0.0011,
1788811200000000000,0.0016,-0.0115,-0.0068,0.0169,0.0085,0.0128,
1788897600000000000,0.0063,0.0011,0.0133,-0.0085,0.0035,0.0070,
1788984000000000000,0.0193,-0.0160,0.0167,0.0058,0.0187,-0.0099,
1789070400000000000,0.0254,0.0272,0.0233,0.0228,0.0237,0.0261,
1789156800000000000,-0.0245,-0.0205,-0.0219,-0.0212,-0.0226,-0.0213,
1789243200000000000,0.0307,0.0266,,0.0307,0.0309,0.0309,
1789329600000000000,0.0315,0.0282,0.0294,0.0289,0.0331,0.0324,
1789416000000000000,0.0251,0.0292,0.0284,0.0264,0.0288,0.0259,
1789502400000000000,0.0080,0.0208,-0.0111,0.0286,0.0050,0.0213,
1789588800000000000,0.0037,0.0291,0.0253,0.0090,0.0273,0.0146,
1789675200000000000,-0.0284,0.0138,0.0039,-0.0120,0.0163,-0.0209,
1789761600000000000,0.0253,-0.0235,-0.0230,0.0210,-0.0063,-0.0128,
1789848000000000000,-0.0098,0.0162,-0.0121,-0.0173,-0.0274,0.0024,
1789934400000000000,0.0219,-0.0230,0.0108,-0.0195,-0.0033,0.0206,
1790020800000000000,-0.0127,-0.0175,0.0294,0.0037,-0.0166,-0.0133,
1790107200000000000,0.0009,0.0031,-0.0014,0.0228,-0.0189,0.0155,
1790193600000000000,-0.0011,0.0027,0.0285,0.0108,0.0283,0.0170,
1790280000000000000,0.0125,-0.0143,0.0089,-0.0139,0.0001,-0.0248,
1790366400000000000,-0.0113,-0.0192,0.0085,0.0166,0.0102,0.0204,
1790452800000000000,-0.0226,-0.0287,-0.0213,-0.0204,0.0112,0.0132,
1790539200000000000,-0.0249,-0.0256,-0.0121,0.0160,-0.0198,-0.0214,
1790625600000000000,0.0297,0.0169,-0.0049,0.0296,0.0163,0.0129,
1790712000000000000,-0.0025,0.0184,-0.0245,0.0147,0.0251,0.0041,
1790798400000000000,-0.0186,0.0285,0.0207,-0.0258,0.0194,0.0269,
1790884800000000000,-0.0216,-0.0025,0.0258,-0.0104,0.0259,0.0234,
1790971200000000000,-0.0074,0.0262,0.0278,-0.0128,-0.0039,-0.0073,
1791057600000000000,0.0295,-0.0202,0.0160,-0.0087,-0.0196,-0.0050,
1791144000000000000,-0.0093,0.0359,-0.0260,0.0378,0.0075,-0.0340,
1791230400000000000,0.0152,0.0306,0.0278,-0.0365,-0.0001,-0.0399,
1791316800000000000,-0.0351,0.0266,0.0091,0.0263,-0.0292,-0.0010,
1791403200000000000,0.0357,0.0096,-0.0124,0.0079,0.0254,0.0214,
1791489600000000000,0.0015,-0.0012,-0.0395,0.0269,0.0104,-0.0012,
1791576000000000000,0.0389,0.0390,-0.0228,-0.0359,0.0293,-0.0122,
1791662400000000000,0.0235,0.0093,-0.0229,-0.0066,-0.0140,-0.0329,
1791748800000000000,0.0228,0.0088,-0.0008,0.0216,0.0090,-0.0061,
1791835200000000000,-0.0368,0.0394,-0.0395,-0.0170,0.0162,-0.0157,
1791921600000000000,0.9,0.9,0.9,0.9,0.9,0.9,HALTED
