# TYPE: validation-run
ts_ns,state,value,module_state,estimator_version,min_lag_bars
1749130200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1749735000000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1750339800000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1750944600000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1751549400000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1752154200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1752759000000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1753363800000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1753968600000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1754573400000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1755178200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1755783000000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1756387800000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1756992600000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1757597400000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1758202200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1758807000000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1759411800000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1760016600000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1760621400000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1761226200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1761831000000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1762435800000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1763040600000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1763645400000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1764250200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1764855000000000000,PANIC,-9.640745063155329,OK,1.1.0,1
1765459800000000000,PANIC,-3.423920388147925,OK,1.1.0,1
1766064600000000000,ELEVATED,-0.7506766207080606,OK,1.1.0,1
1766669400000000000,CALM,0.29385552763151007,OK,1.1.0,1
1767274200000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1769088600000000000,UNKNOWN,nan,UNKNOWN,1.1.0,1
1769693400000000000,PANIC,-3.7133805425183706,OK,1.1.0,1
