# TYPE: validation-run
# R048 expected states for the hysteresis tape, computed causally by the
# §R2 normative pseudocode (independent generator, not the test harness).
ts_ns,state,value,module_state
1788897600000000000,FEAR,1.35,OK
1788984000000000000,FEAR,1.15,OK
1789070400000000000,FEAR,1.10,OK
1789156800000000000,NORMAL,1.099,OK
1789243200000000000,COMPLACENCY,0.60,OK
1789329600000000000,COMPLACENCY,0.65,OK
1789416000000000000,COMPLACENCY,0.70,OK
1789502400000000000,NORMAL,0.701,OK
1789588800000000000,FEAR,1.20,OK
1789675200000000000,COMPLACENCY,0.60,OK
1789761600000000000,UNKNOWN,nan,UNKNOWN
1789848000000000000,COMPLACENCY,0.65,OK
1789934400000000000,UNKNOWN,0,UNKNOWN
1790020800000000000,UNKNOWN,10.5,UNKNOWN
1790107200000000000,NORMAL,0.95,OK
