# TYPE: validation-run
# R048 hysteresis tape: entry/exit boundary pins, hysteresis holds, direct
# FEAR->COMPLACENCY, F1/F2 rows, corporate-action neutrality. All numbers
# synthetic [example], seed 42048 [example]; ts are synthetic trading days.
ts_ns,pcr,put_vol,call_vol,adj_flag
1788897600000000000,1.35,1350000,1000000,
1788984000000000000,1.15,1150000,1000000,
1789070400000000000,1.10,1100000,1000000,
1789156800000000000,1.099,1099000,1000000,
1789243200000000000,0.60,600000,1000000,
1789329600000000000,0.65,650000,1000000,
1789416000000000000,0.70,700000,1000000,
1789502400000000000,0.701,701000,1000000,
1789588800000000000,1.20,1200000,1000000,
1789675200000000000,0.60,600000,1000000,
1789761600000000000,,,,
1789848000000000000,0.65,650000,1000000,
1789934400000000000,0,0,1000000,
1790020800000000000,10.5,10500000,1000000,
1790107200000000000,0.95,950000,1000000,split
