# TYPE: validation-run
# Expected R049 outputs for R049_tape.csv (tolerance 1e-9; NaN == NaN).
# Row 18: cm=0 unhandled roll -> UNKNOWN (value kept).
ts_ns,state,value,module_state
1788897600000000000,CONTANGO,4.0,OK
1788984000000000000,BACKWARDATION,-4.0,OK
1789070400000000000,FLAT,0.5,OK
1789156800000000000,BACKWARDATION,-2.5,OK
1789243200000000000,BACKWARDATION,-1.8,OK
1789329600000000000,BACKWARDATION,-1.5,OK
1789416000000000000,FLAT,-1.0,OK
1789502400000000000,BACKWARDATION,-2.0,OK
1789588800000000000,UNKNOWN,NaN,UNKNOWN
1789675200000000000,CONTANGO,4.0,OK
1790539200000000000,UNKNOWN,4.0,UNKNOWN
1790625600000000000,BACKWARDATION,-5.0,OK
1790712000000000000,UNKNOWN,NaN,UNKNOWN
1790798400000000000,UNKNOWN,135.0,UNKNOWN
1790884800000000000,CONTANGO,4.5,OK
1790971200000000000,CONTANGO,3.0,OK
1791057600000000000,FLAT,1.0,OK
1791144000000000000,UNKNOWN,-1.5,UNKNOWN
