# TYPE: validation-run
# R049 tape: VIX spot vs 3m constant-maturity VX futures settlements (synthetic).
# cm=1 constant-maturity series; cm=0 raw front-contract -> UNKNOWN (unhandled roll).
ts_ns,vix,vix3m,cm
1788897600000000000,18,22,1
1788984000000000000,32,28,1
1789070400000000000,20,20.5,1
1789156800000000000,22,19.5,1
1789243200000000000,21,19.2,1
1789329600000000000,20,18.5,1
1789416000000000000,20,19.0,1
1789502400000000000,20,18.0,1
1789588800000000000,25,,1
1789675200000000000,25,29.0,1
1790539200000000000,24,28.0,1
1790625600000000000,20,15.0,1
1790712000000000000,0,15.0,1
1790798400000000000,20,155.0,1
1790884800000000000,18,22.5,1
1790971200000000000,18,21.0,1
1791057600000000000,18,19.0,1
1791144000000000000,20,18.5,0
