# TYPE: validation-run
# Synthetic 11-row OFI tape (ev0 = initial book seed). All numbers synthetic, seed 42 [example].
# event_ts/asof_ts int64 ns UTC. asof_ts-event_ts = 120us jitter [example].
ev,event_ts,asof_ts,symbol,venue,seq,event_type,bid_px,bid_sz,ask_px,ask_sz
0,1788960599000000000,1788960599000120000,TEST:XNAS,XNAS,1000,QUOTE,231.4,635,231.41,432
1,1788960600000000000,1788960600000120000,TEST:XNAS,XNAS,1001,QUOTE,231.4,1048,231.41,432
2,1788960600231000000,1788960600231120000,TEST:XNAS,XNAS,1002,QUOTE,231.4,1048,231.41,234
3,1788960600418000000,1788960600418120000,TEST:XNAS,XNAS,1003,QUOTE,231.41,260,231.41,234
4,1788960600760000000,1788960600760120000,TEST:XNAS,XNAS,1004,QUOTE,231.41,260,231.42,688
5,1788960600858000000,1788960600858120000,TEST:XNAS,XNAS,1005,QUOTE,231.41,260,231.42,946
6,1788960601268000000,1788960601268120000,TEST:XNAS,XNAS,1006,QUOTE,231.41,153,231.42,946
7,1788960601543000000,1788960601543120000,TEST:XNAS,XNAS,1007,QUOTE,231.4,715,231.42,946
8,1788960601733000000,1788960601733120000,TEST:XNAS,XNAS,1008,QUOTE,231.4,715,231.42,486
9,1788960602038000000,1788960602038120000,TEST:XNAS,XNAS,1009,QUOTE,231.4,1002,231.42,486
10,1788960602302000000,1788960602302120000,TEST:XNAS,XNAS,1010,QUOTE,231.4,1002,231.43,732
