# TYPE: validation-run
window,tid,px,size,sign
w1,t1,100.0,100,1
w1,t2,100.01,200,1
w1,t3,100.0,150,-1
w1,t4,100.01,50,1
w2,t5,100.02,300,-1
w2,t6,100.01,100,-1
w2,t7,100.02,200,1
w2,t8,100.01,200,-1
w3,t9,100.03,400,1
w3,t10,100.04,400,1
w3,t11,100.03,100,1
w3,t12,100.02,100,-1
w4,t13,100.0,250,-1
w4,t14,100.01,250,1
w4,t15,100.0,250,-1
w4,t16,100.01,250,1
w5,t17,100.02,100,1
w5,t18,100.01,100,-1
w5,t19,100.02,100,1
w5,t20,100.01,100,-1
w6,t21,100.05,500,1
w6,t22,100.06,300,1
w6,t23,100.04,200,-1
w6,t24,100.03,100,-1
