# TYPE: validation-run
# SEED: 20260915
# PI: 0.6 (estimation_trade cases only)
# DGP: dP_t = c1*Q_t + c2*Q_{t-1} + c3*Q_{t-2}; c1=0.01 c2=-0.004 c3=0.0007; signs Markov chain pi=0.6
# P_1 = P0 + c1*Q_1 anchor; regression uses t>=2
case_type,name,t,P,Q,spread,alpha,beta
arithmetic,ex1,,,,0.02,0.35,0.25
estimation_trade,hs3,1,100.0100000000,1,,,
estimation_trade,hs3,2,99.9967000000,-1,,,
estimation_trade,hs3,3,100.0114000000,1,,,
estimation_trade,hs3,4,100.0167000000,1,,,
estimation_trade,hs3,5,100.0034000000,-1,,,
estimation_trade,hs3,6,99.9981000000,-1,,,
estimation_trade,hs3,7,100.0114000000,1,,,
estimation_trade,hs3,8,100.0167000000,1,,,
estimation_trade,hs3,9,100.0234000000,1,,,
estimation_trade,hs3,10,100.0101000000,-1,,,
estimation_trade,hs3,11,100.0248000000,1,,,
estimation_trade,hs3,12,100.0301000000,1,,,
estimation_trade,hs3,13,100.0168000000,-1,,,
estimation_trade,hs3,14,100.0115000000,-1,,,
estimation_trade,hs3,15,100.0048000000,-1,,,
estimation_trade,hs3,16,100.0181000000,1,,,
estimation_trade,hs3,17,100.0034000000,-1,,,
estimation_trade,hs3,18,100.0181000000,1,,,
estimation_trade,hs3,19,100.0234000000,1,,,
estimation_trade,hs3,20,100.0101000000,-1,,,
estimation_trade,hs3,21,100.0248000000,1,,,
estimation_trade,hs3,22,100.0101000000,-1,,,
estimation_trade,hs3,23,100.0248000000,1,,,
estimation_trade,hs3,24,100.0101000000,-1,,,
estimation_trade,hs3,25,100.0248000000,1,,,
estimation_trade,hs3,26,100.0101000000,-1,,,
estimation_trade,hs3,27,100.0048000000,-1,,,
estimation_trade,hs3,28,99.9981000000,-1,,,
estimation_trade,hs3,29,99.9914000000,-1,,,
estimation_trade,hs3,30,99.9847000000,-1,,,
estimation_trade,hs3,31,99.9780000000,-1,,,
estimation_trade,hs3,32,99.9713000000,-1,,,
estimation_trade,hs3,33,99.9846000000,1,,,
estimation_trade,hs3,34,99.9899000000,1,,,
estimation_trade,hs3,35,99.9766000000,-1,,,
estimation_trade,hs3,36,99.9713000000,-1,,,
estimation_trade,hs3,37,99.9846000000,1,,,
estimation_trade,hs3,38,99.9699000000,-1,,,
estimation_trade,hs3,39,99.9846000000,1,,,
estimation_trade,hs3,40,99.9699000000,-1,,,
estimation_trade,hs3,41,99.9646000000,-1,,,
estimation_trade,hs3,42,99.9779000000,1,,,
estimation_trade,hs3,43,99.9632000000,-1,,,
estimation_trade,hs3,44,99.9779000000,1,,,
estimation_trade,hs3,45,99.9632000000,-1,,,
estimation_trade,hs3,46,99.9779000000,1,,,
estimation_trade,hs3,47,99.9632000000,-1,,,
estimation_trade,hs3,48,99.9779000000,1,,,
estimation_trade,hs3,49,99.9832000000,1,,,
estimation_trade,hs3,50,99.9699000000,-1,,,
estimation_trade,hs3,51,99.9846000000,1,,,
estimation_trade,hs3,52,99.9699000000,-1,,,
estimation_trade,hs3,53,99.9846000000,1,,,
estimation_trade,hs3,54,99.9899000000,1,,,
estimation_trade,hs3,55,99.9766000000,-1,,,
estimation_trade,hs3,56,99.9713000000,-1,,,
estimation_trade,hs3,57,99.9646000000,-1,,,
estimation_trade,hs3,58,99.9579000000,-1,,,
estimation_trade,hs3,59,99.9712000000,1,,,
estimation_trade,hs3,60,99.9565000000,-1,,,
