# TYPE: validation-run
# SEED: 20260916 // DGP: venue A leads (quotes m_t); venue B lags 4 bars (quotes m_{t-4}); all values synthetic
t,mid_A,mid_B
0,100.0000088754,100.0001173066
1,99.9995853194,100.0000632216
2,99.9997085214,99.9998005640
3,99.9993636878,100.0002667795
4,99.9993319601,100.0000577707
5,99.9996240751,99.9995240929
6,99.9993831806,99.9994148717
7,100.0001269931,99.9992384576
8,100.0000646285,99.9993513893
9,100.0002902970,99.9995410874
10,100.0007582404,99.9992754407
11,100.0017222794,100.0004365211
12,100.0023043892,100.0001477538
13,100.0017144341,100.0003857023
14,100.0018238219,100.0007159075
15,100.0015482181,100.0016663165
16,100.0009574507,100.0020971641
17,100.0013953754,100.0020676239
18,100.0022784262,100.0014979434
19,100.0026967661,100.0014215815
20,100.0021957297,100.0011996225
21,100.0026969874,100.0012068551
22,100.0034884268,100.0021308115
23,100.0032525421,100.0025672202
24,100.0041536060,100.0020592669
25,100.0044232250,100.0026748485
26,100.0044472121,100.0033160559
27,100.0034125565,100.0037265720
28,100.0042236781,100.0045820043
29,100.0040373514,100.0044233282
30,100.0035560100,100.0042368339
31,100.0032151145,100.0032598831
32,100.0022397875,100.0038370239
33,100.0021613966,100.0037246812
34,100.0017620054,100.0034463070
35,100.0021708684,100.0033699153
36,100.0018972051,100.0018086443
37,100.0019436023,100.0019913790
38,100.0020930133,100.0011587625
39,100.0019025289,100.0019748592
40,100.0008194713,100.0019851575
41,100.0002004352,100.0016016946
42,100.0004959793,100.0022551369
43,100.0000200925,100.0018745471
44,99.9996633311,100.0012492359
45,100.0001477259,100.0003951029
46,99.9995227067,100.0000861620
47,99.9998949892,100.0000202694
48,100.0001451493,99.9996943780
49,99.9988885564,99.9994906074
50,99.9992966101,99.9997027181
51,99.9992322242,100.0001166590
52,99.9987382422,99.9995003079
53,99.9986382011,99.9990933331
54,99.9988516320,99.9994019785
55,99.9998667068,99.9993088719
56,99.9999049059,99.9990467743
57,99.9999164693,99.9986798764
58,99.9995026440,99.9992548102
59,99.9995499324,99.9995690226
60,100.0003521117,99.9999674735
61,99.9989470119,100.0000063356
62,99.9988307811,99.9996133274
63,99.9986639776,99.9996002599
64,99.9990534913,100.0000995690
65,99.9993433363,99.9988360949
66,99.9987445417,99.9984475843
67,99.9989515650,99.9988574395
68,99.9989941842,99.9993137901
69,99.9990260263,99.9989401681
70,99.9988737696,99.9988524344
71,99.9978782952,99.9990567378
72,99.9982699830,99.9987809433
73,99.9980579924,99.9992974161
74,99.9983067960,99.9984846091
75,99.9982420754,99.9975838710
76,99.9978425609,99.9981688304
77,99.9985535569,99.9984564317
78,99.9990194709,99.9980149607
79,99.9986825349,99.9982759443
80,99.9982142048,99.9980161761
81,99.9985851838,99.9989932327
82,99.9971454036,99.9990294922
83,99.9967387284,99.9988577313
84,99.9966025567,99.9980625097
85,99.9966848126,99.9988940008
86,99.9961081175,99.9972554428
87,99.9954481249,99.9967345545
88,99.9954128834,99.9966002918
89,99.9963883512,99.9965977458
90,99.9962478632,99.9962979975
91,99.9969931418,99.9957864680
92,99.9966474659,99.9959290285
93,99.9957961017,99.9965049798
94,99.9964856462,99.9966632402
95,99.9960594671,99.9970402181
96,99.9965640265,99.9967707896
97,99.9945579183,99.9961806904
98,99.9940983221,99.9966447474
99,99.9931561697,99.9958800037
100,99.9925392764,99.9962930267
101,99.9918577945,99.9950447356
102,99.9924064862,99.9940572469
103,99.9921104052,99.9931279693
104,99.9924168826,99.9927349659
105,99.9921675455,99.9918562769
106,99.9924936460,99.9923863262
107,99.9927048336,99.9924445307
108,99.9922568908,99.9919403893
109,99.9914887704,99.9918198905
110,99.9906388308,99.9927594180
111,99.9912994665,99.9928848739
112,99.9910285668,99.9919663177
113,99.9921363945,99.9913706196
114,99.9917307869,99.9906578084
115,99.9909609375,99.9914996045
116,99.9900525152,99.9908323157
117,99.9899135318,99.9918551783
118,99.9893228598,99.9914802923
119,99.9884168334,99.9913756002
120,99.9879387196,99.9904626806
121,99.9875054351,99.9898415413
122,99.9869157356,99.9890833478
123,99.9887373834,99.9887526513
124,99.9895801190,99.9881450113
125,99.9894539609,99.9877227676
126,99.9896006772,99.9875397142
127,99.9910841720,99.9888925607
128,99.9911169946,99.9897213106
129,99.9918211255,99.9898610330
130,99.9919385695,99.9898426342
131,99.9927238790,99.9910390718
132,99.9919628076,99.9909982400
133,99.9913854557,99.9918745423
134,99.9920564405,99.9917379234
135,99.9932254464,99.9922516833
136,99.9928482025,99.9919952516
137,99.9910527731,99.9913249382
138,99.9911135176,99.9926294376
139,99.9912406412,99.9928623971
140,99.9914119035,99.9927651150
141,99.9919146133,99.9913517828
142,99.9915023231,99.9912855365
143,99.9919669830,99.9912840994
144,99.9921085312,99.9914549646
145,99.9909844135,99.9918427415
146,99.9909931604,99.9916832515
147,99.9915280753,99.9920644363
148,99.9918147174,99.9917189891
149,99.9923071828,99.9906601523
150,99.9921802166,99.9906224437
151,99.9917971477,99.9916497148
152,99.9920721059,99.9924511143
153,99.9925588611,99.9925489865
154,99.9920698780,99.9923565964
155,99.9925848613,99.9915329443
156,99.9918000737,99.9922596437
157,99.9913690954,99.9926411233
158,99.9914766694,99.9925529336
159,99.9916219212,99.9925939233
160,99.9912923412,99.9920326581
161,99.9918345722,99.9915556588
162,99.9914972416,99.9914815550
163,99.9910688429,99.9912908584
164,99.9913070473,99.9911421150
165,99.9909696922,99.9912149758
166,99.9908064303,99.9915378313
167,99.9914236404,99.9909193513
168,99.9912905661,99.9909657323
169,99.9907911855,99.9914136590
170,99.9903806367,99.9909149141
171,99.9907391936,99.9916075461
172,99.9910358651,99.9915278662
173,99.9910667463,99.9905486178
174,99.9912895915,99.9909468313
175,99.9918060706,99.9906552884
176,99.9913342763,99.9909596755
177,99.9906863803,99.9908866159
