# TYPE: validation-run
bar,in_or,or_high,or_low,close,vol_z,trig
1,1,,,100.2653,,0
2,1,,,100.1987,,0
3,1,,,100.1828,,0
4,1,,,100.2364,,0
5,1,,,100.177,,0
6,1,,,100.2134,,0
7,1,,,100.1935,,0
8,1,,,100.2728,,0
9,1,,,100.3715,,0
10,1,,,100.3458,,0
11,1,,,100.3934,,0
12,1,,,100.3799,,0
13,1,,,100.3776,,0
14,1,,,100.3374,,0
15,1,,,100.3448,,0
16,1,,,100.3829,,0
17,1,,,100.2393,,0
18,1,,,100.274,,0
19,1,,,100.2084,,0
20,1,,,100.2698,,0
21,1,,,100.2224,,0
22,1,,,100.2735,,0
23,1,,,100.2693,,0
24,1,,,100.2416,,0
25,1,,,100.2035,,0
26,1,,,100.2453,,0
27,1,,,100.3266,,0
28,1,,,100.2251,,0
29,1,,,100.2069,,0
30,1,100.5,100.0,100.263,,0
31,0,100.5,100.0,100.56,2.002045,1
32,0,100.5,100.0,100.45,0.999755,0
33,0,100.5,100.0,99.9,1.798847,-1
