# TYPE: validation-run
bar,open,high,low,close,volume
1,100.25,100.278,100.2258,100.2653,870
2,100.2653,100.3148,100.1525,100.1987,1263
3,100.1987,100.2091,100.1644,100.1828,871
4,100.1828,100.2437,100.1513,100.2364,998
5,100.2364,100.2814,100.1549,100.177,1009
6,100.177,100.2581,100.1349,100.2134,1001
7,100.2134,100.5,100.1844,100.1935,789
8,100.1935,100.2778,100.1932,100.2728,1004
9,100.2728,100.4096,100.2292,100.3715,788
10,100.3715,100.3738,100.3187,100.3458,994
11,100.3458,100.4392,100.3273,100.3934,1077
12,100.3934,100.4309,100.3488,100.3799,947
13,100.3799,100.4231,100.0,100.3776,1177
14,100.3776,100.404,100.3369,100.3374,1014
15,100.3374,100.3757,100.3013,100.3448,905
16,100.3448,100.4256,100.3122,100.3829,1019
17,100.3829,100.4134,100.1912,100.2393,1005
18,100.2393,100.2867,100.2005,100.274,875
19,100.274,100.2814,100.1974,100.2084,768
20,100.2084,100.3052,100.1603,100.2698,939
21,100.2698,100.2802,100.2208,100.2224,1277
22,100.2224,100.3045,100.1976,100.2735,932
23,100.2735,100.2911,100.2302,100.2693,918
24,100.2693,100.286,100.2286,100.2416,607
25,100.2416,100.2848,100.1965,100.2035,1143
26,100.2035,100.2789,100.1701,100.2453,869
27,100.2453,100.3464,100.2197,100.3266,1105
28,100.3266,100.3431,100.1888,100.2251,999
29,100.2251,100.2319,100.1983,100.2069,644
30,100.2069,100.2663,100.1736,100.263,1044
31,100.52,100.58,100.51,100.56,1293
32,100.55,100.58,100.42,100.45,1153
33,100.44,100.46,99.88,99.9,1314
