# TYPE: validation-run
bar,ts_ns,close,ret_bps,trig
1,1788960660000000000,100.0000,0.0000,0
2,1788960720000000000,100.0000,0.0000,0
3,1788960780000000000,100.0000,0.0000,0
4,1788960840000000000,100.0000,0.0000,0
5,1788960900000000000,100.0000,0.0000,0
6,1788960960000000000,100.0000,0.0000,0
7,1788961020000000000,100.0000,0.0000,0
8,1788961080000000000,100.0000,0.0000,0
9,1788961140000000000,100.0000,0.0000,0
10,1788961200000000000,100.0000,0.0000,0
11,1788961260000000000,100.0000,0.0000,0
12,1788961320000000000,100.0000,0.0000,0
13,1788961380000000000,100.0000,0.0000,0
14,1788961440000000000,100.0000,0.0000,0
15,1788961500000000000,100.0000,0.0000,0
16,1788961560000000000,100.0000,0.0000,0
17,1788961620000000000,100.0000,0.0000,0
18,1788961680000000000,100.0000,0.0000,0
19,1788961740000000000,100.0000,0.0000,0
20,1788961800000000000,100.0000,0.0000,0
21,1788961860000000000,100.0200,0.0000,0
22,1788961920000000000,100.0400,0.0000,0
23,1788961980000000000,100.0600,0.0000,0
24,1788962040000000000,100.0800,0.0000,0
25,1788962100000000000,100.1000,0.0000,0
26,1788962160000000000,100.1200,0.0000,0
27,1788962220000000000,100.1400,0.0000,0
28,1788962280000000000,100.1600,0.0000,0
29,1788962340000000000,100.1800,0.0000,0
30,1788962400000000000,100.2000,0.0000,0
31,1788962460000000000,100.1700,17.0000,1
32,1788962520000000000,100.1400,14.0000,1
33,1788962580000000000,100.1100,11.0000,1
34,1788962640000000000,100.0800,8.0000,0
35,1788962700000000000,100.0500,5.0000,0
36,1788962760000000000,100.0200,2.0000,0
37,1788962820000000000,99.9900,-1.0000,0
38,1788962880000000000,99.9600,-4.0000,0
39,1788962940000000000,99.9300,-7.0000,0
40,1788963000000000000,99.9000,-10.0000,-1
