# TYPE: validation-run
bar,ts_ns,close
1,1788960660000000000,100.0000
2,1788960720000000000,100.0000
3,1788960780000000000,100.0000
4,1788960840000000000,100.0000
5,1788960900000000000,100.0000
6,1788960960000000000,100.0000
7,1788961020000000000,100.0000
8,1788961080000000000,100.0000
9,1788961140000000000,100.0000
10,1788961200000000000,100.0000
11,1788961260000000000,100.0000
12,1788961320000000000,100.0000
13,1788961380000000000,100.0000
14,1788961440000000000,100.0000
15,1788961500000000000,100.0000
16,1788961560000000000,100.0000
17,1788961620000000000,100.0000
18,1788961680000000000,100.0000
19,1788961740000000000,100.0000
20,1788961800000000000,100.0000
21,1788961860000000000,100.0200
22,1788961920000000000,100.0400
23,1788961980000000000,100.0600
24,1788962040000000000,100.0800
25,1788962100000000000,100.1000
26,1788962160000000000,100.1200
27,1788962220000000000,100.1400
28,1788962280000000000,100.1600
29,1788962340000000000,100.1800
30,1788962400000000000,100.2000
31,1788962460000000000,100.1700
32,1788962520000000000,100.1400
33,1788962580000000000,100.1100
34,1788962640000000000,100.0800
35,1788962700000000000,100.0500
36,1788962760000000000,100.0200
37,1788962820000000000,99.9900
38,1788962880000000000,99.9600
39,1788962940000000000,99.9300
40,1788963000000000000,99.9000
