# TYPE: validation-run
# S030 synthetic fixture tape, seed 30 [example]. All numbers synthetic.
id,event_ts,bw
b1,1757000000000000000,0.9
b2,1757000060000000000,0.93
b3,1757000120000000000,0.96
b4,1757000180000000000,0.99
b5,1757000240000000000,1.02
b6,1757000300000000000,1.05
b7,1757000360000000000,1.08
b8,1757000420000000000,1.11
b9,1757000480000000000,1.14
b10,1757000540000000000,1.17
b11,1757000600000000000,1.2
b12,1757000660000000000,1.23
b13,1757000720000000000,1.26
b14,1757000780000000000,1.29
b15,1757000840000000000,1.32
b16,1757000900000000000,1.35
b17,1757000960000000000,1.37
b18,1757001020000000000,1.4
b19,1757001080000000000,1.42
b20,1757001140000000000,1.45
b21,1757001200000000000,1.3
b22,1757001260000000000,1.1
b23,1757001320000000000,0.9
b24,1757001380000000000,0.8
b25,1757001440000000000,0.79
b26,1757001500000000000,1.564
