# TYPE: validation-run
# S031 synthetic fixture tape, seed 31 [example]. All numbers synthetic.
ev,event_ts,open,high,low,close,volume
1,1757000000000000000,100.25,100.5,100.1,100.3,700
2,1757000060000000000,100.55,100.8,100.39999999999999,100.6,700
3,1757000120000000000,100.25,100.5,100.1,100.3,700
4,1757000180000000000,100.55,100.8,100.39999999999999,100.6,700
5,1757000240000000000,100.85,101.1,100.69999999999999,100.89999999999999,700
6,1757000300000000000,101.14999999999999,101.39999999999999,100.99999999999999,101.19999999999999,700
7,1757000360000000000,100.85,101.1,100.69999999999999,100.89999999999999,700
8,1757000420000000000,100.55,100.8,100.39999999999999,100.6,700
9,1757000480000000000,100.25,100.5,100.1,100.3,700
10,1757000540000000000,99.95,100.2,99.8,100.0,700
11,1757000600000000000,99.65,99.9,99.5,99.7,700
12,1757000660000000000,99.35000000000001,99.60000000000001,99.2,99.4,700
13,1757000720000000000,99.05000000000001,99.30000000000001,98.9,99.10000000000001,700
14,1757000780000000000,99.35000000000001,99.60000000000001,99.2,99.4,700
