# TYPE: validation-run
# S032 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,rollvol,rv60,rollcor60,drawdown,volofvol,regime_score,crisis_flag,regime_flag,regime_p
d0001,,,,,,,0,0,
d0002,,,,,,,0,0,
d0003,,,,,,,0,0,
d0004,,,,,,,0,0,
d0005,,,,,,,0,0,
d0006,,,,,,,0,0,
d0007,,,,,,,0,0,
d0008,,,,,,,0,0,
d0009,,,,,,,0,0,
d0010,,,,,,,0,0,
d0011,,,,,,,0,0,
d0012,,,,,,,0,0,
d0013,,,,,,,0,0,
d0014,,,,,,,0,0,
d0015,,,,,,,0,0,
d0016,,,,,,,0,0,
d0017,,,,,,,0,0,
d0018,,,,,,,0,0,
d0019,,,,,,,0,0,
d0020,,,,,,,0,0,
d0021,,,,,,,0,0,
d0022,,,,,,,0,0,
d0023,,,,,,,0,0,
d0024,,,,,,,0,0,
d0025,,,,,,,0,0,
d0026,,,,,,,0,0,
d0027,,,,,,,0,0,
d0028,,,,,,,0,0,
d0029,,,,,,,0,0,
d0030,,,,,,,0,0,
d0031,,,,,,,0,0,
d0032,,,,,,,0,0,
d0033,,,,,,,0,0,
d0034,,,,,,,0,0,
d0035,,,,,,,0,0,
d0036,,,,,,,0,0,
d0037,,,,,,,0,0,
d0038,,,,,,,0,0,
d0039,,,,,,,0,0,
d0040,,,,,,,0,0,
d0041,,,,,,,0,0,
d0042,,,,,,,0,0,
d0043,,,,,,,0,0,
d0044,,,,,,,0,0,
d0045,,,,,,,0,0,
d0046,,,,,,,0,0,
d0047,,,,,,,0,0,
d0048,,,,,,,0,0,
d0049,,,,,,,0,0,
d0050,,,,,,,0,0,
d0051,,,,,,,0,0,
d0052,,,,,,,0,0,
d0053,,,,,,,0,0,
d0054,,,,,,,0,0,
d0055,,,,,,,0,0,
d0056,,,,,,,0,0,
d0057,,,,,,,0,0,
d0058,,,,,,,0,0,
d0059,,,,,,,0,0,
d0060,,,,,,,0,0,
d0061,,,,,,,0,0,
d0062,,,,,,,0,0,
d0063,,,,,,,0,0,
d0064,,,,,,,0,0,
d0065,,,,,,,0,0,
d0066,,,,,,,0,0,
d0067,,,,,,,0,0,
d0068,,,,,,,0,0,
d0069,,,,,,,0,0,
d0070,,,,,,,0,0,
d0071,,,,,,,0,0,
d0072,,,,,,,0,0,
d0073,,,,,,,0,0,
d0074,,,,,,,0,0,
d0075,,,,,,,0,0,
d0076,,,,,,,0,0,
d0077,,,,,,,0,0,
d0078,,,,,,,0,0,
d0079,,,,,,,0,0,
d0080,,,,,,,0,0,
d0081,,,,,,,0,0,
d0082,,,,,,,0,0,
d0083,,,,,,,0,0,
d0084,,,,,,,0,0,
d0085,,,,,,,0,0,
d0086,,,,,,,0,0,
d0087,,,,,,,0,0,
d0088,,,,,,,0,0,
d0089,,,,,,,0,0,
d0090,,,,,,,0,0,
d0091,,,,,,,0,0,
d0092,,,,,,,0,0,
d0093,,,,,,,0,0,
d0094,,,,,,,0,0,
d0095,,,,,,,0,0,
d0096,,,,,,,0,0,
d0097,,,,,,,0,0,
d0098,,,,,,,0,0,
d0099,,,,,,,0,0,
d0100,,,,,,,0,0,
d0101,,,,,,,0,0,
d0102,,,,,,,0,0,
d0103,,,,,,,0,0,
d0104,,,,,,,0,0,
d0105,,,,,,,0,0,
d0106,,,,,,,0,0,
d0107,,,,,,,0,0,
d0108,,,,,,,0,0,
d0109,,,,,,,0,0,
d0110,,,,,,,0,0,
d0111,,,,,,,0,0,
d0112,,,,,,,0,0,
d0113,,,,,,,0,0,
d0114,,,,,,,0,0,
d0115,,,,,,,0,0,
d0116,,,,,,,0,0,
d0117,,,,,,,0,0,
d0118,,,,,,,0,0,
d0119,,,,,,,0,0,
d0120,,,,,,,0,0,
d0121,,,,,,,0,0,
d0122,,,,,,,0,0,
d0123,,,,,,,0,0,
d0124,,,,,,,0,0,
