# TYPE: validation-run
# S035 synthetic fixture tape, seed 35 [example]. All numbers synthetic.
id,event_ts,symbol,r_form,r_hold
w01,1757000000000000000,AAA,-6.83,0.71
w02,1757086400000000000,BBB,4.63,-5.42
w03,1757172800000000000,CCC,6.9,2.26
w04,1757259200000000000,DDD,4.41,-1.24
w05,1757345600000000000,EEE,8.69,-1.5
w06,1757432000000000000,FFF,0.02,-1.28
w07,1757518400000000000,GGG,-8.54,0.74
w08,1757604800000000000,HHH,-0.34,1.38
w09,1757691200000000000,III,2.9,1.09
w10,1757777600000000000,JJJ,2.49,-2.58
