# TYPE: validation-run
# S036 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN). cost_ok = cost-gate predicate outcome.
id,gap,in_gate,dir,fade_ret,cost_ok
s1b1,0.020000000000000018,1,-1,-0.004901960784313708,1
s1b2,0.020000000000000018,1,-1,-0.008794117647058841,1
s1b3,0.020000000000000018,1,-1,-0.01171078431372552,1
s1b4,0.020000000000000018,1,-1,-0.014639215686274576,1
s1b5,0.020000000000000018,1,-1,-0.018536274509803885,1
s1b6,0.020000000000000018,1,-1,-0.0224362745098039,1
s1b7,0.020000000000000018,1,-1,-0.025357843137254865,1
s1b8,0.020000000000000018,1,-1,-0.027304901960784278,1
s1b9,0.020000000000000018,1,-1,-0.028277450980392138,1
s1b10,0.020000000000000018,1,-1,-0.02730588235294118,1
s2b1,0.0020000000000000018,0,0,-0.0009980039920161055,1
s2b2,0.0020000000000000018,0,0,-0.0003992015968063978,1
s2b3,0.0020000000000000018,0,0,-0.00159680638722548,1
s3b1,0.08000000000000007,0,0,-0.00462962962962965,1
s3b2,0.08000000000000007,0,0,-0.010185185185185186,1
s3b3,0.08000000000000007,0,0,-0.007407407407407418,1
