# TYPE: validation-run
# S037 synthetic fixture tape, seed 37 [example]. All numbers synthetic.
id,event_ts,session,prior_close,open,close
s1b1,1757000000000000000,s1,100.0,102.0,101.5
s1b2,1757000060000000000,s1,,,101.103
s1b3,1757000120000000000,s1,,,100.8055
s1b4,1757000180000000000,s1,,,100.5068
s1b5,1757000240000000000,s1,,,100.1093
s1b6,1757000300000000000,s1,,,99.7115
s1b7,1757000360000000000,s1,,,99.4135
s1b8,1757000420000000000,s1,,,99.2149
s1b9,1757000480000000000,s1,,,99.1157
s1b10,1757000540000000000,s1,,,99.2148
s2b1,1757006000000000000,s2,50.0,50.1,50.05
s2b2,1757006060000000000,s2,,,50.08
s2b3,1757006120000000000,s2,,,50.02
