# TYPE: validation-run
# S038 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,r_mid_0,r_trade_0
e0,0.0,0.0
e1,-0.00010000000000010001,-0.0002999700029998609
e2,-0.00019999999999997797,-0.0001999800019997222
e3,-0.0002500000000000835,-0.0004499550044997358
e4,-0.00034999999999996145,-0.0005499450054995414
e5,-0.00045000000000006146,-0.000649935006499458
e6,-0.0004999999999999449,-0.0004999500049994721
e7,-0.00046999999999997044,-0.0004699530046995415
e8,-0.00043000000000004146,-0.0006299370062995413
e9,-0.00039000000000000146,-0.0003899610038996526
e10,-0.00034999999999996145,-0.0005499450054995414
e11,-0.00031999999999998696,-0.00031996800319966656
