# TYPE: validation-run
# S039 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,u,cum,z,fade,dir
b1A,-0.01,-0.01,-0.08110300081103,0,0
b1B,-0.138,-0.138,-0.6272727272727273,0,0
b2A,-0.020000000000000004,-0.030000000000000006,-0.24330900243309006,0,0
b2B,-0.07300000000000001,-0.21100000000000002,-0.9590909090909092,0,0
b3A,-0.019999999999999997,-0.05,-0.40551500405515006,0,0
b3B,-0.05399999999999999,-0.265,-1.2045454545454546,0,0
b4A,-0.01,-0.060000000000000005,-0.48661800486618007,0,0
b4B,-0.089,-0.354,-1.609090909090909,0,0
b5A,-0.01,-0.07,-0.5677210056772101,0,0
b5B,-0.078,-0.432,-1.9636363636363636,0,0
b6A,-0.019999999999999997,-0.09,-0.72992700729927,0,0
b6B,-0.041,-0.473,-2.15,1,1
