# TYPE: validation-run
# S039 synthetic fixture tape, seed 39 [example]. All numbers synthetic.
id,event_ts,bucket,name,mkt,beta,raw
b1A,1757000000000000000,1,A,0.02,1.0,0.01
b1B,1757003600000000000,1,B,0.02,0.9,-0.12
b2A,1757007200000000000,2,A,-0.03,1.0,-0.05
b2B,1757010800000000000,2,B,-0.03,0.9,-0.1
b3A,1757014400000000000,3,A,-0.04,1.0,-0.06
b3B,1757018000000000000,3,B,-0.04,0.9,-0.09
b4A,1757021600000000000,4,A,0.01,1.0,0.0
b4B,1757025200000000000,4,B,0.01,0.9,-0.08
b5A,1757028800000000000,5,A,0.02,1.0,0.01
b5B,1757032400000000000,5,B,0.02,0.9,-0.06
b6A,1757036000000000000,6,A,-0.01,1.0,-0.03
b6B,1757039600000000000,6,B,-0.01,0.9,-0.05
