# TYPE: validation-run
# S040 synthetic fixture tape, seed 40 [example]. All numbers synthetic.
id,event_ts,close,vwap
bar1,1757000000000000000,99.99,99.99
bar2,1757000060000000000,100.04,100.02
bar3,1757000120000000000,100.09,100.05
bar4,1757000180000000000,100.17,100.08
bar5,1757000240000000000,100.19,100.11
bar6,1757000300000000000,100.17,100.12
bar7,1757000360000000000,100.14,100.12
bar8,1757000420000000000,100.11,100.12
bar9,1757000480000000000,100.05,100.11
bar10,1757000540000000000,100.02,100.11
bar11,1757000600000000000,100.0,100.1
bar12,1757000660000000000,99.98,100.09
