# TYPE: validation-run
# S041 synthetic fixture tape, seed 41 [example]. All numbers synthetic.
id,event_ts,close,bb_mid,bb_up,bb_lo
L29,1757000000000000000,98.55,98.6,99.25,97.95
L30,1757000060000000000,98.3,98.55,99.2,97.9
L31,1757000120000000000,98.05,98.5,99.15,97.85
L32,1757000180000000000,97.652,98.62,99.24,97.999
L33,1757000240000000000,98.736,98.6,99.3,97.882
L34,1757000300000000000,98.9,98.62,99.32,97.92
L35,1757000360000000000,99.1,98.65,99.35,97.95
U51,1757000420000000000,101.3,101.4,102.0,100.8
U52,1757000480000000000,101.55,101.42,102.02,100.82
U53,1757000540000000000,101.8,101.45,102.05,100.85
U54,1757000600000000000,102.132,101.44,101.947,100.93
U55,1757000660000000000,100.983,101.46,101.996,100.92
U56,1757000720000000000,101.1,101.45,102.0,100.9
U57,1757000780000000000,101.25,101.47,102.02,100.92
