# TYPE: validation-run
# S042 synthetic fixture tape, seed 42 [example]. All numbers synthetic.
id,event_ts,leg,close
s01,1757000000000000000,prior,4000.0
s02,1757086400000000000,prior,3997.630714715587
s03,1757172800000000000,prior,3994.6297417310725
s04,1757259200000000000,prior,3992.9833459731594
s05,1757345600000000000,prior,4009.23146266619
s06,1757432000000000000,prior,4007.2203932245843
s07,1757518400000000000,prior,3975.149623043525
s08,1757604800000000000,prior,3983.2184142234696
s09,1757691200000000000,prior,3978.1615209946535
s10,1757777600000000000,prior,3974.2120832690034
s11,1757864000000000000,prior,3977.541348356015
s12,1757950400000000000,prior,3983.423057267703
s13,1758036800000000000,scenario,4009.798886503406
s14,1758123200000000000,scenario,4049.3148716938426
s15,1758209600000000000,scenario,4057.015131475884
s16,1758296000000000000,scenario,4015.0832545624667
s17,1758382400000000000,scenario,3957.718893761039
s18,1758468800000000000,scenario,3973.0507113589774
s19,1758555200000000000,scenario,4050.400732964001
s20,1758641600000000000,scenario,4054.0599278610152
s21,1758728000000000000,scenario,4049.0383087922505
s22,1758814400000000000,scenario,4081.5560384716377
s23,1758900800000000000,scenario,3997.7589450485657
s24,1758987200000000000,scenario,3980.919129450703
