# TYPE: validation-run
# S044 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,K,D,R,crossdn,dir
1,,,,0,0
2,,,,0,0
3,,,,0,0
4,,,,0,0
5,,,,0,0
6,,,,0,0
7,,,,0,0
8,,,,0,0
9,,,,0,0
10,,,,0,0
11,,,,0,0
12,,,,0,0
13,,,,0,0
14,,,,0,0
15,,,,0,0
16,95.39999999999992,95.0,-4.60000000000008,0,0
17,94.30000000000007,94.8,-5.699999999999932,1,-1
18,91.99999999999989,93.89999999999996,-8.000000000000114,0,0
19,89.00000000000006,91.76666666666667,-10.999999999999943,0,0
20,85.99999999999994,88.99999999999996,-14.000000000000057,0,0
21,84.00000000000006,86.33333333333336,-15.999999999999943,0,0
22,81.99999999999989,83.99999999999996,-18.000000000000114,0,0
23,80.0,81.99999999999999,-20.0,0,0
24,78.00000000000011,80.0,-21.999999999999886,0,0
