# TYPE: validation-run
# S046 boundary fixture, synthetic [example]. Lunch |z|=1.55 (active); open |z|=1.45 (inactive); close z=-1.45 (inactive).
id,event_ts,abs_bp,signed_bp
b0,1757000000000000000,25.618000,25.618000
b1,1757000600000000000,25.618000,25.618000
b2,1757001200000000000,25.618000,25.618000
b3,1757001800000000000,25.618000,25.618000
b4,1757002400000000000,25.618000,25.618000
b5,1757003000000000000,25.618000,25.618000
b6,1757003600000000000,8.000000,8.000000
b7,1757004200000000000,7.000000,-7.000000
b8,1757004800000000000,9.000000,9.000000
b9,1757005400000000000,8.000000,-8.000000
b10,1757006000000000000,7.000000,7.000000
b11,1757006600000000000,9.000000,-9.000000
b12,1757007200000000000,8.000000,8.000000
b13,1757007800000000000,7.000000,-7.000000
b14,1757008400000000000,9.000000,9.000000
b15,1757009000000000000,8.000000,-8.000000
b16,1757009600000000000,7.000000,7.000000
b17,1757010200000000000,9.000000,-9.000000
b18,1757010800000000000,13.163000,-13.163000
b19,1757011400000000000,13.163000,-13.163000
b20,1757012000000000000,13.163000,-13.163000
b21,1757012600000000000,8.000000,-8.000000
b22,1757013200000000000,7.000000,7.000000
b23,1757013800000000000,9.000000,-9.000000
b24,1757014400000000000,8.000000,8.000000
b25,1757015000000000000,7.000000,-7.000000
b26,1757015600000000000,9.000000,9.000000
b27,1757016200000000000,8.000000,-8.000000
b28,1757016800000000000,7.000000,7.000000
b29,1757017400000000000,9.000000,-9.000000
b30,1757018000000000000,8.000000,8.000000
b31,1757018600000000000,7.000000,-7.000000
b32,1757019200000000000,9.000000,9.000000
b33,1757019800000000000,8.000000,-8.000000
b34,1757020400000000000,7.000000,7.000000
b35,1757021000000000000,9.000000,-9.000000
b36,1757021600000000000,20.548000,20.548000
b37,1757022200000000000,20.548000,20.548000
b38,1757022800000000000,20.548000,20.548000
