# TYPE: validation-run
# S046 synthetic fixture tape, seed 46 [example]. All numbers synthetic.
id,event_ts,abs_bp,signed_bp
b0,1757000000000000000,18,18
b1,1757000600000000000,20,20
b2,1757001200000000000,19,19
b3,1757001800000000000,18,18
b4,1757002400000000000,20,20
b5,1757003000000000000,19,19
b6,1757003600000000000,8,8
b7,1757004200000000000,7,-7
b8,1757004800000000000,9,9
b9,1757005400000000000,8,-8
b10,1757006000000000000,7,7
b11,1757006600000000000,9,-9
b12,1757007200000000000,8,8
b13,1757007800000000000,7,-7
b14,1757008400000000000,9,9
b15,1757009000000000000,8,-8
b16,1757009600000000000,7,7
b17,1757010200000000000,8,-8
b18,1757010800000000000,13,-13
b19,1757011400000000000,15,-15
b20,1757012000000000000,14,-14
b21,1757012600000000000,8,8
b22,1757013200000000000,7,-7
b23,1757013800000000000,9,9
b24,1757014400000000000,8,-8
b25,1757015000000000000,7,7
b26,1757015600000000000,9,-9
b27,1757016200000000000,8,8
b28,1757016800000000000,7,-7
b29,1757017400000000000,9,9
b30,1757018000000000000,8,-8
b31,1757018600000000000,7,7
b32,1757019200000000000,9,-9
b33,1757019800000000000,8,8
b34,1757020400000000000,7,-7
b35,1757021000000000000,8,8
b36,1757021600000000000,24,24
b37,1757022200000000000,26,26
b38,1757022800000000000,25,25
