# TYPE: validation-run
# S047 synthetic fixture tape, seed 47 [example]. All numbers synthetic.
id,event_ts,price,side
t1,1757000000000000000,50.01,ask
t2,1757000001000000000,49.99,bid
t3,1757000002000000000,50.01,ask
t4,1757000003000000000,49.99,bid
t5,1757000004000000000,50.01,ask
t6,1757000005000000000,49.99,bid
t7,1757000006000000000,50.01,ask
t8,1757000007000000000,49.99,bid
t9,1757000008000000000,50.01,ask
t10,1757000009000000000,49.99,bid
t11,1757000010000000000,50.01,ask
t12,1757000011000000000,49.99,bid
t13,1757000012000000000,49.99,bid
t14,1757000013000000000,50.01,ask
t15,1757000014000000000,49.99,bid
t16,1757000015000000000,49.99,bid
t17,1757000016000000000,49.99,bid
t18,1757000017000000000,50.01,ask
t19,1757000018000000000,49.99,bid
t20,1757000019000000000,50.01,ask
t21,1757000020000000000,49.99,bid
t22,1757000021000000000,49.99,bid
t23,1757000022000000000,50.01,ask
t24,1757000023000000000,49.99,bid
t25,1757000024000000000,50.01,ask
t26,1757000025000000000,49.99,bid
t27,1757000026000000000,50.01,ask
t28,1757000027000000000,50.01,ask
t29,1757000028000000000,49.99,bid
t30,1757000029000000000,49.99,bid
t31,1757000030000000000,49.99,bid
t32,1757000031000000000,50.01,ask
t33,1757000032000000000,49.99,bid
t34,1757000033000000000,50.01,ask
t35,1757000034000000000,49.99,bid
t36,1757000035000000000,50.01,ask
t37,1757000036000000000,49.99,bid
t38,1757000037000000000,50.01,ask
t39,1757000038000000000,50.01,ask
t40,1757000039000000000,50.01,ask
t41,1757000040000000000,50.01,ask
t42,1757000041000000000,49.99,bid
t43,1757000042000000000,49.99,bid
t44,1757000043000000000,49.99,bid
t45,1757000044000000000,50.01,ask
t46,1757000045000000000,49.99,bid
t47,1757000046000000000,50.01,ask
t48,1757000047000000000,50.01,ask
t49,1757000048000000000,49.99,bid
t50,1757000049000000000,50.01,ask
t51,1757000050000000000,49.99,bid
t52,1757000051000000000,50.01,ask
t53,1757000052000000000,49.99,bid
t54,1757000053000000000,50.01,ask
t55,1757000054000000000,50.01,ask
t56,1757000055000000000,49.99,bid
t57,1757000056000000000,49.99,bid
t58,1757000057000000000,49.99,bid
t59,1757000058000000000,50.01,ask
t60,1757000059000000000,49.99,bid
