# TYPE: validation-run
# S048 synthetic fixture tape, seed 48 [example]. All numbers synthetic.
id,event_ts,t_sec,impact_bps
s0,1757000000000000000,0,10.0
s1,1757000002000000000,2,9.048374180359595
s2,1757000004000000000,4,8.187307530779819
s3,1757000006000000000,6,7.4081822068171785
s4,1757000008000000000,8,6.703200460356394
s5,1757000010000000000,10,6.065306597126334
s6,1757000012000000000,12,5.488116360940264
s7,1757000014000000000,14,4.965853037914095
s8,1757000016000000000,16,4.493289641172216
s9,1757000018000000000,18,4.065696597405991
s10,1757000020000000000,20,3.6787944117144233
s11,1757000022000000000,22,3.3287108369807954
s12,1757000024000000000,24,3.01194211912202
s13,1757000026000000000,26,2.725317930340126
s14,1757000028000000000,28,2.4659696394160644
s15,1757000030000000000,30,2.231301601484298
s16,1757000032000000000,32,2.018965179946554
s17,1757000034000000000,34,1.826835240527346
s18,1757000036000000000,36,1.6529888822158654
s19,1757000038000000000,38,1.4956861922263505
s20,1757000040000000000,40,1.353352832366127
s21,1757000042000000000,42,1.224564282529819
s22,1757000044000000000,44,1.1080315836233388
s23,1757000046000000000,46,1.0025884372280371
s24,1757000048000000000,48,0.9071795328941247
s25,1757000050000000000,50,0.820849986238988
s26,1757000052000000000,52,0.7427357821433388
s27,1757000054000000000,54,0.6720551273974975
s28,1757000056000000000,56,0.6081006262521795
s29,1757000058000000000,58,0.5502322005640721
s30,1757000060000000000,60,0.49787068367863946
