# TYPE: validation-run
# S049 synthetic fixture tape, seed 49 [example]. All numbers synthetic.
id,event_ts,sym,close
d1A,1757000000000000000,A,98.34912351010718
d1B,1757000001000000000,B,100.0
d2A,1757086400000000000,A,98.70755147267272
d2B,1757086401000000000,B,100.0
d3A,1757172800000000000,A,99.06597943523825
d3B,1757172801000000000,B,100.0
d4A,1757259200000000000,A,99.42440739780379
d4B,1757259201000000000,B,100.0
d5A,1757345600000000000,A,99.78283536036933
d5B,1757345601000000000,B,100.0
d6A,1757432000000000000,A,100.14126332293488
d6B,1757432001000000000,B,100.0
d7A,1757518400000000000,A,100.14126332293488
d7B,1757518401000000000,B,100.0
d8A,1757604800000000000,A,100.26073931045671
d8B,1757604801000000000,B,100.0
d9A,1757691200000000000,A,100.61916727302227
d9B,1757691201000000000,B,100.0
d10A,1757777600000000000,A,100.9775952355878
d10B,1757777601000000000,B,100.0
d11A,1757864000000000000,A,101.33602319815334
d11B,1757864001000000000,B,100.0
d12A,1757950400000000000,A,101.69445116071888
d12B,1757950401000000000,B,100.0
d13A,1758036800000000000,A,102.49999999999999
d13B,1758036801000000000,B,100.0
d14A,1758123200000000000,A,101.49999999999999
d14B,1758123201000000000,B,100.0
d15A,1758209600000000000,A,100.49999999999999
d15B,1758209601000000000,B,100.0
d16A,1758296000000000000,A,100.0
d16B,1758296001000000000,B,100.0
