# TYPE: validation-run
# Expected outputs for S052_tape.csv. Hand-checked per the S052 chapter S4.
# All numbers synthetic.
ev,beta,innov,sqrtF,z,direction
0,1.1710490894,-0.1378200000,0.8853487172,-0.1556674758,0
1,1.1793197685,0.0776663367,0.3988090867,0.1947456548,0
2,1.1592546383,-0.2553760684,0.3730181803,-0.6846209701,0
3,1.1913248630,0.5299666400,0.3574076325,1.4828072816,0
4,1.1932457707,0.0354029500,0.3559060384,0.0994727434,0
5,1.1909997439,-0.0726641509,0.3352026977,-0.2167767485,0
6,1.2007550550,0.3427728465,0.3341255568,1.0258803598,0
7,1.1900518002,-0.3215384029,0.3383329460,-0.9503608994,0
8,1.1822841610,-0.2990289503,0.3335974990,-0.8963764751,0
9,1.1906736355,0.3032677664,0.3352315092,0.9046517349,0
10,1.2327864204,1.6186527291,0.3345502783,4.8382943738,-1
11,1.1964668846,-1.4655728409,0.3341151453,-4.3864304311,1
