# TYPE: validation-run
# Synthetic 12-bar pair tape. 1-state beta filter: beta0=1.20 [example], P0=0.04 [example],
# q_beta=3.021e-6 [example], R=0.10610 [example]. Bars 10-11 add large innovations to exercise entries.
# event_ts/asof_ts int64 ns UTC. All numbers synthetic.
ev,event_ts,asof_ts,x,y
0,1788960600000000000,1788960600000120000,4.1161000000,4.8015000000
1,1789047000000000000,1789047000000120000,3.1262000000,3.7386000000
2,1789133400000000000,1789133400000120000,3.0224000000,3.3090000000
3,1789219800000000000,1789219800000120000,2.7995000000,3.7753000000
4,1789306200000000000,1789306200000120000,2.9928000000,3.6008000000
5,1789392600000000000,1789392600000120000,1.8027000000,2.0784000000
6,1789479000000000000,1789479000000120000,1.7436000000,2.4194000000
7,1789565400000000000,1789565400000120000,2.1964000000,2.3158000000
8,1789651800000000000,1789651800000120000,1.7944000000,1.8364000000
9,1789738200000000000,1789738200000120000,2.0201000000,2.6916000000
10,1789824600000000000,1789824600000120000,2.0000000000,4.0000000000
11,1789911000000000000,1789911000000120000,2.0000000000,1.0000000000
