# TYPE: validation-run
# Synthetic formation spreads for three candidate pairs (12 daily bars each).
# A: high-crossing mean-reverter. B: monotone drifter (1 demeaned crossing).
# C: offset oscillator - pins the demeaned definition (raw zero crossings = 0).
# Gate: zc >= 3 [example]. event_ts/asof_ts int64 ns UTC. All numbers synthetic.
bar,event_ts,asof_ts,pair,spread
0,1788960600000000000,1788960600000120000,A,0.5000000000
0,1788960600000000000,1788960600000120000,B,0.5000000000
0,1788960600000000000,1788960600000120000,C,3.0000000000
1,1789047000000000000,1789047000000120000,A,-0.3000000000
1,1789047000000000000,1789047000000120000,B,0.5500000000
1,1789047000000000000,1789047000000120000,C,3.5000000000
2,1789133400000000000,1789133400000120000,A,-0.8000000000
2,1789133400000000000,1789133400000120000,B,0.6000000000
2,1789133400000000000,1789133400000120000,C,3.2000000000
3,1789219800000000000,1789219800000120000,A,0.2000000000
3,1789219800000000000,1789219800000120000,B,0.6600000000
3,1789219800000000000,1789219800000120000,C,3.8000000000
4,1789306200000000000,1789306200000120000,A,0.9000000000
4,1789306200000000000,1789306200000120000,B,0.6200000000
4,1789306200000000000,1789306200000120000,C,3.1000000000
5,1789392600000000000,1789392600000120000,A,-0.1000000000
5,1789392600000000000,1789392600000120000,B,0.6800000000
5,1789392600000000000,1789392600000120000,C,3.6000000000
6,1789479000000000000,1789479000000120000,A,-0.4000000000
6,1789479000000000000,1789479000000120000,B,0.7300000000
6,1789479000000000000,1789479000000120000,C,3.3000000000
7,1789565400000000000,1789565400000120000,A,0.6000000000
7,1789565400000000000,1789565400000120000,B,0.7900000000
7,1789565400000000000,1789565400000120000,C,3.7000000000
8,1789651800000000000,1789651800000120000,A,0.1000000000
8,1789651800000000000,1789651800000120000,B,0.8500000000
8,1789651800000000000,1789651800000120000,C,3.0000000000
9,1789738200000000000,1789738200000120000,A,-0.7000000000
9,1789738200000000000,1789738200000120000,B,0.9100000000
9,1789738200000000000,1789738200000120000,C,3.5000000000
10,1789824600000000000,1789824600000120000,A,0.3000000000
10,1789824600000000000,1789824600000120000,B,0.9700000000
10,1789824600000000000,1789824600000120000,C,3.2000000000
11,1789911000000000000,1789911000000120000,A,-0.2000000000
11,1789911000000000000,1789911000000120000,B,1.0300000000
11,1789911000000000000,1789911000000120000,C,3.6000000000
