# TYPE: validation-run
# Expected outputs. All numbers synthetic. z uses expanding
# trailing window (population std, ddof=0), min_obs=2 [default].
# Empty z = undefined (warmup or vetoed bar).
bar,fair_adr,premium_bps,z,direction,module_state
0,50.0000000000,0.0000000000,,0,OK
1,50.0000000000,5.0000000000,1.0000000000,0,OK
2,50.0000000000,-10.2000000000,-1.3385488234,0,OK
3,50.0000000000,0.3500000000,0.2814494512,0,OK
4,50.0000000000,2.5800000000,0.5843518838,0,OK
5,50.0000000000,-6.5400000000,-0.9652164836,0,OK
6,50.0000000000,-5.3000000000,-0.6508619174,0,OK
7,50.0000000000,11.0900000000,1.7894813802,0,OK
8,50.0000000000,-7.5200000000,-0.9850436696,0,OK
9,50.0000000000,0.6600000000,0.2684405250,0,OK
10,50.0000000000,-5.9300000000,-0.7458776473,0,OK
11,50.0000000000,4.0000000000,0.8363310949,0,OK
12,50.0000000000,5.6000000000,1.0148881500,0,OK
13,50.0000000000,9.8300000000,1.5068347037,0,OK
14,50.0000000000,9.6000000000,1.3282286863,0,OK
15,50.0000000000,-7.5700000000,-1.1866620146,0,OK
16,50.0000000000,-4.8100000000,-0.7373467312,0,OK
17,50.0000000000,-5.4400000000,-0.7943093115,0,OK
18,50.0000000000,-4.0800000000,-0.5652315808,0,OK
19,50.0000000000,1.8100000000,0.3436122434,0,OK
20,50.0000000000,-0.8900000000,-0.0850825817,0,OK
21,50.0000000000,-6.6500000000,-0.9798696751,0,OK
22,50.0000000000,-5.8300000000,-0.8146764165,0,OK
23,50.0000000000,21.7200000000,2.9000525746,0,OK
24,50.0000000000,-11.9300000000,-1.4979001122,0,OK
25,50.0000000000,18.7200000000,2.1941402254,0,OK
26,50.0000000000,-9.9900000000,-1.1737134967,0,OK
27,50.0000000000,-9.1400000000,-1.0328396958,0,OK
28,50.0000000000,-3.4800000000,-0.3577365649,0,OK
29,50.0000000000,-3.6200000000,-0.3673593986,0,OK
30,50.0000000000,-1.4300000000,-0.0994204971,0,OK
31,50.0000000000,30.0000000000,3.0960248308,-1,OK
32,50.0000000000,33.0000000000,2.8869495794,-1,OK
33,50.0000000000,36.0000000000,2.7373212090,-1,OK
34,50.0000000000,39.0000000000,2.6240462785,-1,OK
35,50.0000000000,42.0000000000,2.5347752313,-1,OK
36,50.0000000000,45.0000000000,2.4622670076,-1,OK
37,50.0000000000,48.0000000000,2.4019778026,-1,OK
38,50.0000000000,51.0000000000,2.3509030984,-1,OK
39,50.0000000000,54.0000000000,2.3069714319,-1,OK
40,50.0000000000,57.0000000000,2.2687049191,-1,OK
41,50.0000000000,60.0000000000,2.2350185860,-1,OK
42,50.0000000000,63.0000000000,2.2050963405,-1,OK
43,50.0000000000,66.0000000000,2.1783113885,-1,OK
44,50.0000000000,69.0000000000,2.1541735086,-1,OK
45,,,,0,UNKNOWN
46,50.0000000000,75.0000000000,2.2323148321,-1,OK
47,50.0000000000,78.0000000000,2.1961917964,-1,OK
48,50.0000000000,81.0000000000,2.1644415271,-1,OK
49,50.0000000000,84.0000000000,2.1363166587,-1,OK
50,50.0000000000,87.0000000000,2.1112320633,-1,OK
51,50.0000000000,90.0000000000,2.0887228405,-1,OK
52,50.0000000000,93.0000000000,2.0684147804,-1,OK
53,50.0000000000,40.0000000000,0.4681044624,0,OK
54,50.0000000000,36.0000000000,0.3432356042,0,OK
55,50.0000000000,32.0000000000,0.2188576957,0,OK
56,50.0000000000,28.0000000000,0.0946584073,0,OK
57,50.0000000000,24.0000000000,-0.0295198471,0,OK
58,50.0000000000,20.0000000000,-0.1536914808,0,OK
59,50.0000000000,16.0000000000,-0.2777372900,0,OK
60,,,,0,UNKNOWN
61,50.0000000000,8.0000000000,-0.5272669858,0,OK
62,50.0000000000,4.0000000000,-0.6588156037,0,OK
63,50.0000000000,0.0000000000,-0.7832474399,0,OK
64,50.0000000000,-4.0000000000,-0.9179985101,0,OK
65,50.0000000000,-8.0000000000,-1.0380744254,0,OK
66,50.0000000000,-25.0000000000,-1.5428683328,0,OK
67,50.0000000000,-27.0000000000,-1.5737127349,1,OK
68,50.0000000000,-29.0000000000,-1.5990594771,1,OK
69,50.0000000000,-31.0000000000,-1.6045637240,1,OK
70,50.0000000000,-33.0000000000,-1.6256132012,1,OK
71,50.0000000000,-35.0000000000,-1.6344761200,1,OK
