# TYPE: validation-run
# Synthetic 72-bar 30-min tape, 2026-09-08 09:00 UTC onward (seed 61 [example]).
# FX CONVENTION: fx = USD per unit of local currency; fair_adr = local_px*fx*ratio.
# Scenario: warmup bars 0-1; noise bars 2-30; sustained rich premium bars 31-52
# (bar 45 home_open=0 session interruption); decay bars 53-65 (bar 60 fx=NaN);
# discount bars 66-71. event_ts/asof_ts int64 ns UTC. All numbers synthetic.
bar,event_ts,asof_ts,local_px,fx,adr_px,ratio,home_open
0,1788858000000000000,1788858000000120000,50.0000000000,0.2000000000,50.0000000000,5,1
1,1788859800000000000,1788859800000120000,50.0000000000,0.2000000000,50.0250000000,5,1
2,1788861600000000000,1788861600000120000,50.0000000000,0.2000000000,49.9490000000,5,1
3,1788863400000000000,1788863400000120000,50.0000000000,0.2000000000,50.0017500000,5,1
4,1788865200000000000,1788865200000120000,50.0000000000,0.2000000000,50.0129000000,5,1
5,1788867000000000000,1788867000000120000,50.0000000000,0.2000000000,49.9673000000,5,1
6,1788868800000000000,1788868800000120000,50.0000000000,0.2000000000,49.9735000000,5,1
7,1788870600000000000,1788870600000120000,50.0000000000,0.2000000000,50.0554500000,5,1
8,1788872400000000000,1788872400000120000,50.0000000000,0.2000000000,49.9624000000,5,1
9,1788874200000000000,1788874200000120000,50.0000000000,0.2000000000,50.0033000000,5,1
10,1788876000000000000,1788876000000120000,50.0000000000,0.2000000000,49.9703500000,5,1
11,1788877800000000000,1788877800000120000,50.0000000000,0.2000000000,50.0200000000,5,1
12,1788879600000000000,1788879600000120000,50.0000000000,0.2000000000,50.0280000000,5,1
13,1788881400000000000,1788881400000120000,50.0000000000,0.2000000000,50.0491500000,5,1
14,1788883200000000000,1788883200000120000,50.0000000000,0.2000000000,50.0480000000,5,1
15,1788885000000000000,1788885000000120000,50.0000000000,0.2000000000,49.9621500000,5,1
16,1788886800000000000,1788886800000120000,50.0000000000,0.2000000000,49.9759500000,5,1
17,1788888600000000000,1788888600000120000,50.0000000000,0.2000000000,49.9728000000,5,1
18,1788890400000000000,1788890400000120000,50.0000000000,0.2000000000,49.9796000000,5,1
19,1788892200000000000,1788892200000120000,50.0000000000,0.2000000000,50.0090500000,5,1
20,1788894000000000000,1788894000000120000,50.0000000000,0.2000000000,49.9955500000,5,1
21,1788895800000000000,1788895800000120000,50.0000000000,0.2000000000,49.9667500000,5,1
22,1788897600000000000,1788897600000120000,50.0000000000,0.2000000000,49.9708500000,5,1
23,1788899400000000000,1788899400000120000,50.0000000000,0.2000000000,50.1086000000,5,1
24,1788901200000000000,1788901200000120000,50.0000000000,0.2000000000,49.9403500000,5,1
25,1788903000000000000,1788903000000120000,50.0000000000,0.2000000000,50.0936000000,5,1
26,1788904800000000000,1788904800000120000,50.0000000000,0.2000000000,49.9500500000,5,1
27,1788906600000000000,1788906600000120000,50.0000000000,0.2000000000,49.9543000000,5,1
28,1788908400000000000,1788908400000120000,50.0000000000,0.2000000000,49.9826000000,5,1
29,1788910200000000000,1788910200000120000,50.0000000000,0.2000000000,49.9819000000,5,1
30,1788912000000000000,1788912000000120000,50.0000000000,0.2000000000,49.9928500000,5,1
31,1788913800000000000,1788913800000120000,50.0000000000,0.2000000000,50.1500000000,5,1
32,1788915600000000000,1788915600000120000,50.0000000000,0.2000000000,50.1650000000,5,1
33,1788917400000000000,1788917400000120000,50.0000000000,0.2000000000,50.1800000000,5,1
34,1788919200000000000,1788919200000120000,50.0000000000,0.2000000000,50.1950000000,5,1
35,1788921000000000000,1788921000000120000,50.0000000000,0.2000000000,50.2100000000,5,1
36,1788922800000000000,1788922800000120000,50.0000000000,0.2000000000,50.2250000000,5,1
37,1788924600000000000,1788924600000120000,50.0000000000,0.2000000000,50.2400000000,5,1
38,1788926400000000000,1788926400000120000,50.0000000000,0.2000000000,50.2550000000,5,1
39,1788928200000000000,1788928200000120000,50.0000000000,0.2000000000,50.2700000000,5,1
40,1788930000000000000,1788930000000120000,50.0000000000,0.2000000000,50.2850000000,5,1
41,1788931800000000000,1788931800000120000,50.0000000000,0.2000000000,50.3000000000,5,1
42,1788933600000000000,1788933600000120000,50.0000000000,0.2000000000,50.3150000000,5,1
43,1788935400000000000,1788935400000120000,50.0000000000,0.2000000000,50.3300000000,5,1
44,1788937200000000000,1788937200000120000,50.0000000000,0.2000000000,50.3450000000,5,1
45,1788939000000000000,1788939000000120000,50.0000000000,0.2000000000,50.3600000000,5,0
46,1788940800000000000,1788940800000120000,50.0000000000,0.2000000000,50.3750000000,5,1
47,1788942600000000000,1788942600000120000,50.0000000000,0.2000000000,50.3900000000,5,1
48,1788944400000000000,1788944400000120000,50.0000000000,0.2000000000,50.4050000000,5,1
49,1788946200000000000,1788946200000120000,50.0000000000,0.2000000000,50.4200000000,5,1
50,1788948000000000000,1788948000000120000,50.0000000000,0.2000000000,50.4350000000,5,1
51,1788949800000000000,1788949800000120000,50.0000000000,0.2000000000,50.4500000000,5,1
52,1788951600000000000,1788951600000120000,50.0000000000,0.2000000000,50.4650000000,5,1
53,1788953400000000000,1788953400000120000,50.0000000000,0.2000000000,50.2000000000,5,1
54,1788955200000000000,1788955200000120000,50.0000000000,0.2000000000,50.1800000000,5,1
55,1788957000000000000,1788957000000120000,50.0000000000,0.2000000000,50.1600000000,5,1
56,1788958800000000000,1788958800000120000,50.0000000000,0.2000000000,50.1400000000,5,1
57,1788960600000000000,1788960600000120000,50.0000000000,0.2000000000,50.1200000000,5,1
58,1788962400000000000,1788962400000120000,50.0000000000,0.2000000000,50.1000000000,5,1
59,1788964200000000000,1788964200000120000,50.0000000000,0.2000000000,50.0800000000,5,1
60,1788966000000000000,1788966000000120000,50.0000000000,NaN,50.0600000000,5,1
61,1788967800000000000,1788967800000120000,50.0000000000,0.2000000000,50.0400000000,5,1
62,1788969600000000000,1788969600000120000,50.0000000000,0.2000000000,50.0200000000,5,1
63,1788971400000000000,1788971400000120000,50.0000000000,0.2000000000,50.0000000000,5,1
64,1788973200000000000,1788973200000120000,50.0000000000,0.2000000000,49.9800000000,5,1
65,1788975000000000000,1788975000000120000,50.0000000000,0.2000000000,49.9600000000,5,1
66,1788976800000000000,1788976800000120000,50.0000000000,0.2000000000,49.8750000000,5,1
67,1788978600000000000,1788978600000120000,50.0000000000,0.2000000000,49.8650000000,5,1
68,1788980400000000000,1788980400000120000,50.0000000000,0.2000000000,49.8550000000,5,1
69,1788982200000000000,1788982200000120000,50.0000000000,0.2000000000,49.8450000000,5,1
70,1788984000000000000,1788984000000120000,50.0000000000,0.2000000000,49.8350000000,5,1
71,1788985800000000000,1788985800000120000,50.0000000000,0.2000000000,49.8250000000,5,1
