# TYPE: validation-run
# Expected outputs for S064_tape.csv. Hand-checked per the S064 chapter S4.
# All numbers synthetic.
bar,rv,bv,jump_var,rel_jump,lm_stat,lm_flag
0,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.1092121904,0
1,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0682576190,0
2,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.1638182856,0
3,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0409545714,0
4,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0819091428,0
5,0.0009060600,0.0000536584,0.0008524016,0.9407783121,4.0954571391,1
6,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0546060952,0
7,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.1228637142,0
8,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.1501667618,0
9,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0682576190,0
10,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0819091428,0
11,0.0009060600,0.0000536584,0.0008524016,0.9407783121,0.0955606666,0
