# TYPE: validation-run
# Synthetic 12 five-min returns with one +1% jump at bar 5 [example].
# BV=(pi/2)*sum|r_i r_{i-1}|; J=max(RV-BV,0); LM flag |r|/sqrt(BV)>4.0 [example].
# event_ts/asof_ts int64 ns UTC. All numbers synthetic.
bar,event_ts,asof_ts,ret
0,1788960600000000000,1788960600000120000,0.0008000000
1,1788960900000000000,1788960900000120000,-0.0005000000
2,1788961200000000000,1788961200000120000,0.0012000000
3,1788961500000000000,1788961500000120000,-0.0003000000
4,1788961800000000000,1788961800000120000,0.0006000000
5,1788962100000000000,1788962100000120000,0.0300000000
6,1788962400000000000,1788962400000120000,-0.0004000000
7,1788962700000000000,1788962700000120000,0.0009000000
8,1788963000000000000,1788963000000120000,-0.0011000000
9,1788963300000000000,1788963300000120000,0.0005000000
10,1788963600000000000,1788963600000120000,-0.0006000000
11,1788963900000000000,1788963900000120000,0.0007000000
