# TYPE: validation-run
# Synthetic 12 five-min returns, season=1.0 flat [example].
# sigma2_t = w + a*(r_{t-1}/s)^2 + b*sigma2_{t-1}; w=2.0e-7,a=0.06,b=0.89 [example];
# sigma2_0 = w/(1-a-b). event_ts/asof_ts int64 ns UTC. All numbers synthetic.
bar,event_ts,asof_ts,ret,season
0,1788960600000000000,1788960600000120000,0.0012000000,1.0000000000
1,1788960900000000000,1788960900000120000,-0.0008000000,1.0000000000
2,1788961200000000000,1788961200000120000,0.0021000000,1.0000000000
3,1788961500000000000,1788961500000120000,-0.0015000000,1.0000000000
4,1788961800000000000,1788961800000120000,0.0009000000,1.0000000000
5,1788962100000000000,1788962100000120000,-0.0032000000,1.0000000000
6,1788962400000000000,1788962400000120000,0.0018000000,1.0000000000
7,1788962700000000000,1788962700000120000,0.0005000000,1.0000000000
8,1788963000000000000,1788963000000120000,-0.0011000000,1.0000000000
9,1788963300000000000,1788963300000120000,0.0024000000,1.0000000000
10,1788963600000000000,1788963600000120000,-0.0007000000,1.0000000000
11,1788963900000000000,1788963900000120000,0.0013000000,1.0000000000
