# TYPE: validation-run
# Synthetic 12-day daily-RV tape (fixed series). Forecast rows for days 4..11:
# RV_d=rv_t, RV_w=mean(last 5), RV_m=mean(all);
# HAR = 5e-5 + 0.40*RV_d + 0.35*RV_w + 0.20*RV_m [example].
# event_ts/asof_ts int64 ns UTC. All numbers synthetic.
day,event_ts,asof_ts,rv
0,1788960600000000000,1788960600000120000,0.0001200000
1,1789047000000000000,1789047000000120000,0.0001800000
2,1789133400000000000,1789133400000120000,0.0000900000
3,1789219800000000000,1789219800000120000,0.0002500000
4,1789306200000000000,1789306200000120000,0.0001500000
5,1789392600000000000,1789392600000120000,0.0001100000
6,1789479000000000000,1789479000000120000,0.0002000000
7,1789565400000000000,1789565400000120000,0.0001400000
8,1789651800000000000,1789651800000120000,0.0001000000
9,1789738200000000000,1789738200000120000,0.0002200000
10,1789824600000000000,1789824600000120000,0.0001600000
11,1789911000000000000,1789911000000120000,0.0001900000
