# TYPE: validation-run
# Expected outputs for S067_tape.csv. Hand-checked per the S067 chapter S4.
# All numbers synthetic.
day,bin,s_b,r_adj
0,0,1.2631578947,0.0009500000
0,1,0.6315789474,0.0009500000
0,2,0.5263157895,0.0009500000
0,3,1.5789473684,0.0009500000
1,0,1.2631578947,0.0007916667
1,1,0.6315789474,0.0011083333
1,2,0.5263157895,0.0007600000
1,3,1.5789473684,0.0008233333
2,0,1.2631578947,0.0011083333
2,1,0.6315789474,0.0007916667
2,2,0.5263157895,0.0011400000
2,3,1.5789473684,0.0010133333
