# TYPE: validation-run
# Synthetic 3 days x 4 bins of |5-min returns|. s_b = median_b(|r|)/mean(medians) [example];
# r_adj = |r|/s_b. event_ts/asof_ts int64 ns UTC. All numbers synthetic.
day,bin,event_ts,asof_ts,absr
0,0,1788960600000000000,1788960600000120000,0.0012000000
0,1,1788966420000000000,1788966420000120000,0.0006000000
0,2,1788972240000000000,1788972240000120000,0.0005000000
0,3,1788978060000000000,1788978060000120000,0.0015000000
1,0,1788984000000000000,1788984000000120000,0.0010000000
1,1,1788989820000000000,1788989820000120000,0.0007000000
1,2,1788995640000000000,1788995640000120000,0.0004000000
1,3,1789001460000000000,1789001460000120000,0.0013000000
2,0,1789007400000000000,1789007400000120000,0.0014000000
2,1,1789013220000000000,1789013220000120000,0.0005000000
2,2,1789019040000000000,1789019040000120000,0.0006000000
2,3,1789024860000000000,1789024860000120000,0.0016000000
